geometry,profile,variant,independent_sequence_count,dependent_event_count,initialization_success_count,initialization_success_fraction,initialization_success_ci95_low,initialization_success_ci95_high,mean_initialization_time_s,final_valid_count,final_invalid_count,final_valid_fraction,final_valid_fraction_ci95_low,final_valid_fraction_ci95_high,final_failure_reason_counts,conditional_position_rmse_m,conditional_position_p95_m,conditional_velocity_rmse_mps,conditional_velocity_p95_mps,conditional_metric_valid_denominator,total_sequence_denominator,conditional_state_95_coverage_fraction,conditional_state_95_coverage_ci95_low,conditional_state_95_coverage_ci95_high,unconditional_valid_and_covered_fraction,unconditional_valid_and_covered_ci95_low,unconditional_valid_and_covered_ci95_high,delivered_clean_event_count,false_rejected_clean_event_count,false_rejected_clean_event_fraction,delivered_outlier_event_count,detected_outlier_event_count,detected_outlier_event_fraction,missed_outlier_event_count,missed_outlier_event_fraction,unclassified_outlier_event_count,mean_pre_update_nis_all_attempts,pre_update_nis_defined_count,pre_update_nis_rejected_count,mean_initialization_runtime_s,mean_measurement_update_runtime_s,mean_total_processing_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,maximum_covariance_condition_number,paired_valid_fraction_difference_vs_c1,paired_valid_fraction_difference_ci95_low,paired_valid_fraction_difference_ci95_high,paired_unconditional_coverage_difference_vs_c1,paired_unconditional_coverage_difference_ci95_low,paired_unconditional_coverage_difference_ci95_high,paired_conditional_position_rmse_difference_vs_c1_m,paired_position_rmse_difference_ci95_low_m,paired_position_rmse_difference_ci95_high_m,paired_conditional_velocity_rmse_difference_vs_c1_mps,paired_velocity_rmse_difference_ci95_low_mps,paired_velocity_rmse_difference_ci95_high_mps,paired_mean_false_rejection_rate_difference_vs_c1,paired_false_rejection_rate_difference_ci95_low,paired_false_rejection_rate_difference_ci95_high,paired_bootstrap_resample_count,paired_bootstrap_unit,p95_method,outlier_truth_used_by_estimator,covariance_after_selection_assumed_calibrated
informative,outlier_strong,robust_initialization_only,100,4500,100,1.0,0.9630065017930143,1.0,2.2382204179463114,100,0,1.0,0.9630065017930143,1.0,{},7.805926673164639,14.137566734916621,0.7063647430863833,1.2426499535650182,100,100,0.01,0.0017674320641406505,0.054486196178705315,0.01,0.0017674320641406505,0.054486196178705315,4045,1,0.00024721878862793575,455,80,0.17582417582417584,375,0.8241758241758241,0,284.2217223586607,3819,0,0.6757502099970588,0.020511706988327206,0.728824365985347,0.0,4.9224430154609464e-05,7591.986861078965,0.54,0.45,0.64,0.01,0.0,0.03,-0.6658692919450244,-1.425495463612684,0.1285043296708278,-0.056719451871422244,-0.12456712134650545,0.016567270903545903,0.0002702702702702703,0.0,0.0008108108108108109,2000,whole_base_sequence,linear,False,False
informative,outlier_strong,nis_gate_only,100,4500,46,0.46,0.36560808309024106,0.5573513967663177,1.9464382101382651,46,54,0.46,0.36560808309024106,0.5573513967663177,"{""initialization_failed:initialization_quality_gate_failed"": 40, ""initialization_failed:projected_kkt_not_satisfied"": 14}",71.50572439821411,1.5752453033554163,5.112023393433064,0.15683120585077967,46,100,0.8695652173913043,0.74334142220927,0.9388215963796489,0.4,0.3094012864324589,0.4979974132089382,4045,80,0.019777503090234856,455,172,0.378021978021978,2,0.004395604395604396,281,353.0385265150906,1794,252,3.494863987021381,0.009849579010624438,3.5347624600038396,0.0,7.044836149746231e-05,726673.1558461296,0.0,0.0,0.0,0.4,0.31,0.5,63.03392843310445,-8.206918898572894,106.61920949210197,4.348939198475258,-0.732907542609749,7.706588320529582,0.01949738108315742,0.001239799033424209,0.04619330288116765,2000,whole_base_sequence,linear,False,False
informative,outlier_strong,robust_combined,100,4500,100,1.0,0.9630065017930143,1.0,2.2382204179463114,100,0,1.0,0.9630065017930143,1.0,{},0.8143395901074333,1.3651779382909974,0.08043179079912409,0.13479968602430362,100,100,0.93,0.8625048526092651,0.9656807389327273,0.93,0.8625048526092651,0.9656807389327273,4045,32,0.007911001236093944,455,455,1.0,0,0.0,0,224.26805497552573,3819,406,0.6754593369940994,0.02039214699936565,0.7260958170273807,0.0,7.044836149746231e-05,5382.311013012476,0.54,0.44,0.64,0.93,0.88,0.97,-7.65745637500223,-8.792349213579449,-6.503876967175685,-0.6826524041586814,-0.792693576205681,-0.5814905360470078,0.008091865869599696,0.004720371779569805,0.012082740226500674,2000,whole_base_sequence,linear,False,False
informative,mixed,c1_baseline,100,3599,70,0.7,0.6041514536665332,0.7810511470506724,3.2515339994087,70,30,0.7,0.6041514536665332,0.7810511470506724,"{""initialization_failed:initialization_quality_gate_failed"": 27, ""initialization_failed:projected_kkt_not_satisfied"": 3}",7.3331035752930225,14.248870938208862,0.6670314838940719,1.384547862083322,70,100,0.17142857142857143,0.10087724640529248,0.2761664803214543,0.12,0.06999406437019488,0.19812099426711421,3419,0,0.0,180,0,0.0,104,0.5777777777777777,76,149.669247322612,2103,0,1.3578620390000287,0.010679669997189193,1.3895805899985134,0.0,6.750507992747223e-05,6321.299465853508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
informative,mixed,robust_initialization_only,100,3599,100,1.0,0.9630065017930143,1.0,3.3677714234464338,100,0,1.0,0.9630065017930143,1.0,{},6.8599500647968625,13.183021610989098,0.614835686474717,1.1645785231743533,100,100,0.2,0.1333669333310325,0.2888291655931589,0.2,0.1333669333310325,0.2888291655931589,3419,1,0.0002924831822170225,180,37,0.20555555555555555,143,0.7944444444444444,0,144.5878896000971,2961,0,0.24276321800018194,0.01593342298292555,0.28090764798398593,0.0,6.750507992747223e-05,6321.299465853508,0.30000000000000004,0.21,0.39,0.08000000000000002,0.03,0.14,-0.47315351049615995,-1.019814891500582,0.09751489668709963,-0.05219579741935487,-0.10258811721369866,0.007139337686947588,0.0002941176470588235,0.0,0.0008823529411764705,2000,whole_base_sequence,linear,False,False
informative,mixed,nis_gate_only,100,3599,70,0.7,0.6041514536665332,0.7810511470506724,3.2515339994087,70,30,0.7,0.6041514536665332,0.7810511470506724,"{""initialization_failed:initialization_quality_gate_failed"": 27, ""initialization_failed:projected_kkt_not_satisfied"": 3}",54.12510223538913,1.969015114473332,4.116238869600102,0.19140123303246642,70,100,0.8714285714285714,0.7733524405057483,0.9308589988466248,0.61,0.5120301704584073,0.6998312599360558,3419,73,0.021351272301842646,180,101,0.5611111111111111,3,0.016666666666666666,76,198.8614039205041,2103,174,1.3684922039997764,0.010880104998941533,1.4000805840041721,0.0,7.996908068618082e-05,632636.8255645421,0.0,0.0,0.0,0.49,0.39,0.58,46.791998660096105,-6.963621364969649,85.90178948687549,3.44920738570603,-0.6088025488888948,6.2954630591661,0.021025505670841733,0.0028106530071307107,0.05035845935971602,2000,whole_base_sequence,linear,False,False
informative,mixed,robust_combined,100,3599,100,1.0,0.9630065017930143,1.0,3.3677714234464338,100,0,1.0,0.9630065017930143,1.0,{},0.9496062960315038,1.824140295731501,0.09304783973557956,0.17440454122359156,100,100,0.91,0.837737871472837,0.9519274599974348,0.91,0.837737871472837,0.9519274599974348,3419,20,0.0058496636443404505,180,180,1.0,0,0.0,0,115.57777149980134,2961,162,0.24598590700130443,0.016250301011605187,0.2844522489939118,0.0,7.996908068618082e-05,6071.738021691672,0.30000000000000004,0.21,0.39,0.79,0.71,0.87,-6.383497279261519,-7.814870013446963,-4.991337100384699,-0.5739836441584922,-0.7146761475563536,-0.4387743443234338,0.00590194464768639,0.0034584869434901894,0.008745555730058547,2000,whole_base_sequence,linear,False,False
poorly_conditioned,nominal,c1_baseline,100,4500,100,1.0,0.9630065017930143,1.0,1.9373216306868895,100,0,1.0,0.9630065017930143,1.0,{},0.5611487981304215,0.8855425256014396,0.06005446251115338,0.09870095874706485,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,4500,0,0.0,0,0,nan,0,nan,0,1.980465679778354,3900,0,0.06357092800200917,0.032215690014418215,0.1485278779931832,0.0,7.683518026175667e-05,2288.290379076124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
poorly_conditioned,nominal,robust_initialization_only,100,4500,100,1.0,0.9630065017930143,1.0,1.9373216306868895,100,0,1.0,0.9630065017930143,1.0,{},0.5611487981304215,0.8855425256014396,0.06005446251115338,0.09870095874706485,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,4500,0,0.0,0,0,nan,0,nan,0,1.980465679778354,3900,0,0.12725367700157222,0.03207573999883607,0.21190670602431055,0.0,7.683518026175667e-05,2288.290379076124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
poorly_conditioned,nominal,nis_gate_only,100,4500,100,1.0,0.9630065017930143,1.0,1.9373216306868895,100,0,1.0,0.9630065017930143,1.0,{},0.5674645283739927,0.9091631065324314,0.060532163474912005,0.09891131039342502,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,4500,32,0.0071111111111111115,0,0,nan,0,nan,0,2.003197897775938,3900,32,0.0634645030007232,0.031795572002884,0.14708764499402605,0.0,7.683518026175667e-05,2530.2840746710767,0.0,0.0,0.0,0.0,-0.03,0.03,0.006315730243571238,-0.010324630844693353,0.025810202298193034,0.00047770096375862603,-0.0007322997803657666,0.002144613436263564,0.0071111111111111115,0.004666666666666666,0.00977777777777778,2000,whole_base_sequence,linear,False,False
