geometry,motion,azimuth_noise_std_deg,elevation_noise_std_deg,delivery_schedule,method,independent_sequence_count,successful_initialization_count,successful_initialization_fraction,successful_initialization_fraction_ci95_low,successful_initialization_fraction_ci95_high,final_valid_count,final_failure_fraction,final_failure_reason_counts,mean_time_to_first_estimate_s,final_position_rmse_m,final_position_p95_m,final_velocity_rmse_mps,final_velocity_p95_mps,final_state_95_coverage_fraction,final_state_95_coverage_ci95_low,final_state_95_coverage_ci95_high,mean_sequence_measurement_nis,mean_sequence_nis_95_coverage_fraction,median_total_runtime_s,mean_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,coverage_interval_unit,temporal_nis_nees_are_dependent
informative,uniform_oblique,0.1,0.18,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.12409954791278874,0.14586721363881236,0.04623528619299965,0.06421745233951325,1.0,0.5101091635454027,1.0,nan,nan,0.08142354999836243,nan,0.0,0.00030494772702741756,whole_sequence_final_outcome,True
informative,uniform_oblique,0.1,0.18,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.1958361176012187,0.2185006550875195,0.3082792136556264,0.08708710409304588,0.10891176817572659,1.0,0.5101091635454027,1.0,1.658362433796615,0.9722222222222222,0.0448238000026322,0.0006012749999071173,0.0,0.00023359667558914184,whole_sequence_final_outcome,True
informative,uniform_oblique,0.1,0.18,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.3751850199634859,0.21841060570426407,0.30808321323374827,0.08708879242850896,0.10890442680652875,1.0,0.5101091635454027,1.0,nan,nan,0.7103504999977304,nan,0.0,0.00023369701021391616,whole_sequence_final_outcome,True
informative,uniform_oblique,0.1,0.18,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.1958361176012187,1.329124085063443,1.8109741547454976,0.38812010991444135,0.5367104950242817,1.0,0.5101091635454027,1.0,nan,nan,0.03744485000424902,nan,2.7755575615628914e-17,0.00032251296756984375,whole_sequence_final_outcome,True
informative,uniform_oblique,0.1,0.18,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.5110626162940344,0.21841060570426407,0.30808321323374827,0.08708879242850896,0.10890442680652875,1.0,0.5101091635454027,1.0,nan,nan,0.08097369999995863,nan,0.0,0.00023369701021391616,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.6260568950505971,0.8211002670156397,0.33532314147691866,0.4874013850726272,0.75,0.30064184258240184,0.9544127391902995,1.8384288912406421,0.9722222222222222,0.06784165000317444,0.000809924999986025,0.0,0.002779842418909165,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.30800000000000005,0.6254494838313033,0.8177980785594965,0.3363180076999277,0.48846601334081996,0.75,0.30064184258240184,0.9544127391902995,nan,nan,1.0726704500102642,nan,0.0,0.002789930390304759,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,3.152962028488614,4.327673722272133,0.9402212275666226,1.3485092857591934,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.058510900005785516,nan,2.220446049250313e-16,0.0036787369521148936,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.6254494838313033,0.8177980785594965,0.3363180076999277,0.48846601334081996,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.12543915000060224,nan,0.0,0.002789930390304759,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.080143252837252,0.6913200271963769,0.8013042109709272,0.2622836682132853,0.3305285346204493,1.0,0.5101091635454027,1.0,2.1438316896172083,0.9444444444444444,0.04316715000095428,0.0006006055553168859,0.0,0.002145579570947993,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.22643018872046528,0.6914296281724442,0.8023870025945237,0.2621133393223029,0.3305516213657102,1.0,0.5101091635454027,1.0,nan,nan,0.7196203000003152,nan,0.0,0.0021360392004578475,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.080143252837252,5.5357365701143975,6.688730659185051,1.6179625639780995,2.021940305983167,1.0,0.5101091635454027,1.0,nan,nan,0.03646889999981795,nan,2.220446049250313e-16,0.002932424958560284,whole_sequence_final_outcome,True
informative,uniform_oblique,0.3,0.5,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.510335687019733,0.6914296281724442,0.8023870025945237,0.2621133393223029,0.3305516213657102,1.0,0.5101091635454027,1.0,nan,nan,0.08058470000105444,nan,0.0,0.0021360392004578475,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.03,0.05,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.0676356899613436,0.09879672774094067,0.023100140134106356,0.03304084422944097,1.0,0.5101091635454027,1.0,2.330473907529151,0.8888888888888888,0.037386700001661666,0.0005246638889325873,0.0,3.4515796270568996e-05,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.03,0.05,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.6769999999999999,0.06766915551424495,0.09885840517300157,0.023104652942938227,0.03306370397205429,1.0,0.5101091635454027,1.0,nan,nan,0.7371580500002892,nan,0.0,3.452436515915097e-05,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.03,0.05,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.47434886729484627,0.6974556397693973,0.14360532092816905,0.21021145064756544,1.0,0.5101091635454027,1.0,nan,nan,0.03098964999844611,nan,3.469446951953614e-18,4.595645165501985e-05,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.03,0.05,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.06766915551424495,0.09885840517300157,0.023104652942938227,0.03306370397205429,1.0,0.5101091635454027,1.0,nan,nan,0.07503970000107074,nan,0.0,3.452436515915097e-05,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.03,0.05,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.1005205693384368,0.059558466457601676,0.07454966121879739,0.02856067494337833,0.036758065536074136,1.0,0.5101091635454027,1.0,2.2881436517379328,0.9444444444444444,0.043261599996185396,0.0005539999999907903,0.0,2.813015977085751e-05,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.03,0.05,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.6964896398660553,0.05955367438624094,0.0745308981083285,0.028560550182587224,0.03673057196688812,1.0,0.5101091635454027,1.0,nan,nan,1.1698713499918085,nan,0.0,2.813807050331004e-05,whole_sequence_final_outcome,True
