study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,calibration_seed,evaluation_seed,seed,estimator_variant,srp_backend,common_random_numbers,exact_reference_trials_per_configuration,exact_reference_sampling_scope,exact_fast_disagreement_covers_all_evaluation_trials,runtime_component,runtime_sample_count,exact_reference_trial_count,exact_fast_disagreement_trial_count,exact_fast_disagreement_scope,mean_exact_fast_disagreement_deg,max_exact_fast_disagreement_deg,mean_runtime_s,median_runtime_s,p95_runtime_s
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,2270389723,3680216868,3680216868,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005517227101023309,0.005149199976585805,0.00801941494573839
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,2270389723,3680216868,3680216868,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.014565175160586816,0.03134284705423314,0.2552776000229642,0.2654388000955805,0.27176624997518956
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3687031876,3769072507,3769072507,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017296097018988804,0.0016017999732866883,0.002496245031943545
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3687031876,3769072507,3769072507,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005495706998626702,0.005182749999221414,0.007783884997479615
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3687031876,3769072507,3769072507,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.007157687205750281,0.009654485918036259,0.25729336667185027,0.25835070002358407,0.25942143000429496
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,3898053548,1266175952,1266175952,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0013461920008994638,0.0012717500212602317,0.001771039981395006
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,3898053548,1266175952,1266175952,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.004256026699324138,0.003953399951569736,0.006085394998081028
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,3898053548,1266175952,1266175952,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.00607969823931027,0.012448904008444879,0.2678264999995008,0.26632900000549853,0.27387001001043243
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-2.0,-2.0,1024,all_6,500,1000,764094111,36878349,36878349,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0012991865004878492,0.001256600022315979,0.0016214350063819439
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-2.0,-2.0,1024,all_6,500,1000,764094111,36878349,36878349,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.004166313302586787,0.00397714989958331,0.005483055062359198
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-2.0,-2.0,1024,all_6,500,1000,764094111,36878349,36878349,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0022642422142819794,0.005346225045012227,0.20880193329260996,0.20835660002194345,0.20972594997147098
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,4286221535,3336920253,3336920253,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0012986450004391372,0.0012649500276893377,0.0015234149585012344
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,4286221535,3336920253,3336920253,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.0040884866010164845,0.0039227999513968825,0.005297540058381855
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,4286221535,3336920253,3336920253,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0011090658334544526,0.0021686279179330176,0.20979706663638353,0.2097617998952046,0.21075935994740574
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2612514717,2189951555,2189951555,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0012926227014977486,0.0012545500067062676,0.0015683399513363838
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2612514717,2189951555,2189951555,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.004153934204368852,0.003951549995690584,0.005506145005347206
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2612514717,2189951555,2189951555,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0015224236530803597,0.0022790554778564106,0.2091621666525801,0.20818529999814928,0.21208607994485645
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,893368488,3952493046,3952493046,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0012844134005717933,0.0012524999910965562,0.0015152100124396382
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,893368488,3952493046,3952493046,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.0041045018004952,0.003908950020559132,0.005403535044752061
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,893368488,3952493046,3952493046,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0027029313665699536,0.002911199752980902,0.20886513334698975,0.21020199998747557,0.2102191000129096
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,1514653963,3656717843,3656717843,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0015980721003143116,0.0013881000340916216,0.002493420004611835
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,1514653963,3656717843,3656717843,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005109658599249087,0.0047713000094518065,0.007351970084710046
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,1514653963,3656717843,3656717843,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0015858499572435937,0.002381779978459488,0.21299839997664094,0.21004419995006174,0.22000108001520857
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,54016517,2877792475,2877792475,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0016894424014026299,0.001552299945615232,0.0025106050248723476
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,54016517,2877792475,2877792475,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.00546810380066745,0.005035299982409924,0.007767370005603879
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,54016517,2877792475,2877792475,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0026935116519942615,0.0029938002349533966,0.2606669666711241,0.2555536999134347,0.26964392001973464
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2514629455,1080335229,1080335229,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017257758037885651,0.0015676500042900443,0.002519630087772384
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2514629455,1080335229,1080335229,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005591108200955205,0.005171750031877309,0.008071634988300502
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2514629455,1080335229,1080335229,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0021737884254511976,0.0029554964066559365,0.24944203331445655,0.25405549991410226,0.2643019099836238
srp_paired_full,harmonic_stress,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,2948524060,1002021679,1002021679,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.001705701997387223,0.0015483999741263688,0.002510450017871335
srp_paired_full,harmonic_stress,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,2948524060,1002021679,1002021679,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.004894121999037452,0.004688600078225136,0.007803179905749854
