geometry,motion,azimuth_noise_std_deg,elevation_noise_std_deg,delivery_schedule,sequence_index,base_seed,seed_scheme,truth_seed,bearing_noise_seed,delivery_seed,truth_provenance,bearing_noise_provenance,delivery_provenance,independent_unit,time_samples_within_sequence_are_dependent,tangent_frame,method,dependent_publication_count,valid_publication_count,initialization_succeeded,time_to_first_estimate_s,final_valid,final_failure_reason,failure_reason_counts,dependent_time_position_rmse_m,dependent_time_position_p95_m,dependent_time_velocity_rmse_mps,dependent_time_velocity_p95_mps,final_position_error_m,final_velocity_error_mps,final_state_nees,final_state_95_coverage,mean_measurement_nis,measurement_nis_95_coverage_fraction,total_runtime_s,mean_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue
informative,stationary,0.03,0.05,reordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16732255742047978690,14648688739948132969,13983119895040453426,s7cc1:20260908:1:1:truth,s7cc1:20260908:1:1:bearing_noise,s7cc1:20260908:1:1:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.3173174925344155,True,,"{""not_initialized"": 5}",0.08869060575880192,0.13875876405466153,0.04892229564332835,0.07991194296909822,0.03907290223410363,0.012723056396193687,1.284111945297497,True,2.9006971917312225,0.7777777777777778,0.04920020000645309,0.0005348777780859058,0.0,2.3854169094268707e-05
informative,stationary,0.03,0.05,reordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16732255742047978690,14648688739948132969,13983119895040453426,s7cc1:20260908:1:1:truth,s7cc1:20260908:1:1:bearing_noise,s7cc1:20260908:1:1:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.5179532242190137,True,,"{""insufficient_measurements"": 2}",0.16258396163610087,0.3506150854307769,0.18108654033861152,0.4165284768542996,0.03906491753387644,0.01271558834960036,1.285713097490378,True,nan,nan,0.6750420999997004,nan,0.0,2.3857524805694218e-05
informative,stationary,0.03,0.05,reordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16732255742047978690,14648688739948132969,13983119895040453426,s7cc1:20260908:1:1:truth,s7cc1:20260908:1:1:bearing_noise,s7cc1:20260908:1:1:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.3173174925344155,True,,"{""not_initialized"": 5}",0.2306165223902014,0.32007457377509985,0.0920259285199802,0.09202592851998022,0.3316720090063243,0.09202592851998022,2.561714604722959,True,nan,nan,0.04282239999884041,nan,1.734723475976807e-18,3.282356267847951e-05
informative,stationary,0.03,0.05,reordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16732255742047978690,14648688739948132969,13983119895040453426,s7cc1:20260908:1:1:truth,s7cc1:20260908:1:1:bearing_noise,s7cc1:20260908:1:1:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.828669619676581,True,,{},0.03906491753387644,0.03906491753387644,0.01271558834960036,0.01271558834960036,0.03906491753387644,0.01271558834960036,1.285713097490378,True,nan,nan,0.08582559999922523,nan,0.0,2.3857524805694218e-05
informative,stationary,0.03,0.05,reordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9431286088770996489,8019390029552093307,4810732557413698346,s7cc1:20260908:1:2:truth,s7cc1:20260908:1:2:bearing_noise,s7cc1:20260908:1:2:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.042635361138678,True,,"{""not_initialized"": 5}",0.11465136313323752,0.18375326220424595,0.06733132510019967,0.11996909050074803,0.08094519090266523,0.029479105827948174,12.001469741605987,True,2.8538570440298674,0.8888888888888888,0.059513299995160196,0.0006932666664296347,0.0,2.531084629921073e-05
informative,stationary,0.03,0.05,reordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9431286088770996489,8019390029552093307,4810732557413698346,s7cc1:20260908:1:2:truth,s7cc1:20260908:1:2:bearing_noise,s7cc1:20260908:1:2:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.3249485889979875,True,,"{""insufficient_measurements"": 2}",0.15169344196852283,0.25227652237191,0.16486809544290887,0.3473282161226792,0.08094489116669239,0.02946906014540645,11.999177155908335,True,nan,nan,0.9279648000083398,nan,0.0,2.530913631146857e-05
informative,stationary,0.03,0.05,reordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9431286088770996489,8019390029552093307,4810732557413698346,s7cc1:20260908:1:2:truth,s7cc1:20260908:1:2:bearing_noise,s7cc1:20260908:1:2:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.042635361138678,True,,"{""not_initialized"": 5}",0.4138785224449754,0.5491532849252049,0.15681996813370766,0.15681996813370766,0.5650507296092592,0.15681996813370766,13.150572870535619,False,nan,nan,0.05116039999484201,nan,8.673617379884035e-19,3.402062013473063e-05
informative,stationary,0.03,0.05,reordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9431286088770996489,8019390029552093307,4810732557413698346,s7cc1:20260908:1:2:truth,s7cc1:20260908:1:2:bearing_noise,s7cc1:20260908:1:2:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.3690966460726193,True,,{},0.08094489116669239,0.08094489116669239,0.02946906014540645,0.02946906014540645,0.08094489116669239,0.02946906014540645,11.999177155908335,True,nan,nan,0.11935499999890453,nan,0.0,2.530913631146857e-05
informative,stationary,0.03,0.05,reordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",10986842923201857084,9837676944277216257,5477834180143311648,s7cc1:20260908:1:3:truth,s7cc1:20260908:1:3:bearing_noise,s7cc1:20260908:1:3:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.1755099255818227,True,,"{""not_initialized"": 5}",0.09151101682558785,0.11618603490324211,0.0458360322707596,0.07368001147539234,0.08963901938221906,0.034408664084034764,13.243775996798268,False,2.113924829954477,1.0,0.07930129998931079,0.0008528444446306417,0.0,2.5340381863782302e-05
informative,stationary,0.03,0.05,reordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",10986842923201857084,9837676944277216257,5477834180143311648,s7cc1:20260908:1:3:truth,s7cc1:20260908:1:3:bearing_noise,s7cc1:20260908:1:3:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.44546117513841577,True,,"{""insufficient_measurements"": 2}",0.18829997166676743,0.3747233173598219,0.14527962417372012,0.35099309193037104,0.08960031391901777,0.03440313421644471,13.239474629317495,False,nan,nan,0.9489416000033088,nan,0.0,2.5337578861351578e-05
informative,stationary,0.03,0.05,reordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",10986842923201857084,9837676944277216257,5477834180143311648,s7cc1:20260908:1:3:truth,s7cc1:20260908:1:3:bearing_noise,s7cc1:20260908:1:3:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.1755099255818227,True,,"{""not_initialized"": 5}",0.0630605186579356,0.0693307051353969,0.025405065839712217,0.025405065839712214,0.07096656941063753,0.025405065839712214,6.1271664483945445,True,nan,nan,0.06897200000821613,nan,3.469446951953614e-18,3.4211015525672045e-05
informative,stationary,0.03,0.05,reordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",10986842923201857084,9837676944277216257,5477834180143311648,s7cc1:20260908:1:3:truth,s7cc1:20260908:1:3:bearing_noise,s7cc1:20260908:1:3:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.5046766989046705,True,,{},0.08960031391901777,0.08960031391901777,0.03440313421644471,0.03440313421644471,0.08960031391901777,0.03440313421644471,13.239474629317495,False,nan,nan,0.10713559999931022,nan,0.0,2.5337578861351578e-05
informative,stationary,0.1,0.18,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",11738317610247491014,17062452929171942555,9683108834976863190,s7cc1:20260908:2:0:truth,s7cc1:20260908:2:0:bearing_noise,s7cc1:20260908:2:0:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.3091334931909502,0.4505303158481323,0.2723676665615753,0.3620314575384487,0.22884883727575356,0.11921245342050796,4.962740549000417,True,1.528988212496319,1.0,0.06570040000951849,0.0007125777770448218,0.0,0.0003347635198150572
informative,stationary,0.1,0.18,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",11738317610247491014,17062452929171942555,9683108834976863190,s7cc1:20260908:2:0:truth,s7cc1:20260908:2:0:bearing_noise,s7cc1:20260908:2:0:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.30800000000000005,True,,"{""insufficient_measurements"": 2}",0.5430534319012191,0.9459486907534248,1.3279019509038807,2.4316737707490486,0.22854439831920847,0.11925021864957529,4.9726700632677225,True,nan,nan,1.1455173000103969,nan,0.0,0.0003349482010798653
informative,stationary,0.1,0.18,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",11738317610247491014,17062452929171942555,9683108834976863190,s7cc1:20260908:2:0:truth,s7cc1:20260908:2:0:bearing_noise,s7cc1:20260908:2:0:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.5906040546209876,0.8691344058146417,0.33524710220379716,0.33524710220379716,0.8920444046316038,0.33524710220379716,6.380780883153834,True,nan,nan,0.05652820000250358,nan,1.3877787807814457e-17,0.0004437979198082685
informative,stationary,0.1,0.18,ordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",11738317610247491014,17062452929171942555,9683108834976863190,s7cc1:20260908:2:0:truth,s7cc1:20260908:2:0:bearing_noise,s7cc1:20260908:2:0:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.507999999999999,True,,{},0.22854439831920847,0.22854439831920847,0.11925021864957529,0.11925021864957529,0.22854439831920847,0.11925021864957529,4.9726700632677225,True,nan,nan,0.1848820999985037,nan,0.0,0.0003349482010798653
informative,stationary,0.1,0.18,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16574878782030695117,13971853174291783846,3315497737209775874,s7cc1:20260908:2:1:truth,s7cc1:20260908:2:1:bearing_noise,s7cc1:20260908:2:1:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.24737761513934256,0.35867110701359645,0.1508785339343483,0.24815474349569203,0.28705610465926185,0.12007689926806737,6.350114980843661,True,1.321632947347202,1.0,0.06620550000661751,0.0007770444442737951,0.0,0.00032169522966993746
informative,stationary,0.1,0.18,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16574878782030695117,13971853174291783846,3315497737209775874,s7cc1:20260908:2:1:truth,s7cc1:20260908:2:1:bearing_noise,s7cc1:20260908:2:1:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.30800000000000005,True,,"{""insufficient_measurements"": 2}",0.525469710274323,1.1151393506936065,0.7901935447944531,1.8040581417496506,0.28683635711071265,0.120022894477906,6.350385495651485,True,nan,nan,0.9698674999999639,nan,0.0,0.0003217104231532931
informative,stationary,0.1,0.18,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16574878782030695117,13971853174291783846,3315497737209775874,s7cc1:20260908:2:1:truth,s7cc1:20260908:2:1:bearing_noise,s7cc1:20260908:2:1:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.5312026671026561,0.7563281088652862,0.2560382315879325,0.2560382315879325,0.7740314933755166,0.2560382315879325,2.1029374399514182,True,nan,nan,0.05662739999752375,nan,2.7755575615628914e-17,0.00042604717467753636
informative,stationary,0.1,0.18,ordered,1,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16574878782030695117,13971853174291783846,3315497737209775874,s7cc1:20260908:2:1:truth,s7cc1:20260908:2:1:bearing_noise,s7cc1:20260908:2:1:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.507999999999999,True,,{},0.28683635711071265,0.28683635711071265,0.120022894477906,0.120022894477906,0.28683635711071265,0.120022894477906,6.350385495651485,True,nan,nan,0.09742890000052284,nan,0.0,0.0003217104231532931
informative,stationary,0.1,0.18,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9590202824470768207,5652047921287883075,7492775926106092639,s7cc1:20260908:2:2:truth,s7cc1:20260908:2:2:bearing_noise,s7cc1:20260908:2:2:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.24203984453028754,0.2886929941031925,0.13472253558459596,0.21393209686425743,0.22059513119463983,0.06273249790974411,4.048100047046259,True,1.1841808066362964,1.0,0.06203020000612014,0.0008501222218910698,0.0,0.00031612796425063944
informative,stationary,0.1,0.18,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9590202824470768207,5652047921287883075,7492775926106092639,s7cc1:20260908:2:2:truth,s7cc1:20260908:2:2:bearing_noise,s7cc1:20260908:2:2:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.30800000000000005,True,,"{""insufficient_measurements"": 2}",0.29698165259281234,0.4988995915411537,0.37730072465652104,0.8408733711857804,0.22049345589394193,0.06268897356984371,4.045661787177105,True,nan,nan,0.9889315000000352,nan,0.0,0.00031619835358925603
informative,stationary,0.1,0.18,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9590202824470768207,5652047921287883075,7492775926106092639,s7cc1:20260908:2:2:truth,s7cc1:20260908:2:2:bearing_noise,s7cc1:20260908:2:2:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.600108307069643,0.823740208121408,0.24809772652999074,0.24809772652999074,0.8408927976479353,0.24809772652999074,1.8412093627769706,True,nan,nan,0.051989499988849275,nan,6.938893903907228e-18,0.0004182603790143028
informative,stationary,0.1,0.18,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",9590202824470768207,5652047921287883075,7492775926106092639,s7cc1:20260908:2:2:truth,s7cc1:20260908:2:2:bearing_noise,s7cc1:20260908:2:2:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.507999999999999,True,,{},0.22049345589394193,0.22049345589394193,0.06268897356984371,0.06268897356984371,0.22049345589394193,0.06268897356984371,4.045661787177105,True,nan,nan,0.1331252999989374,nan,0.0,0.00031619835358925603
