geometry,motion,angular_noise_std_deg,delivery_schedule,mode,prefix_index,row_type,base_seed,seed_scheme,processing_time_s,independent_sequence_count,dependent_prefix_count_per_sequence,successful_sequence_count,successful_fraction,failure_reason_counts,position_rmse_m,position_median_m,position_p95_m,velocity_rmse_mps,velocity_median_mps,velocity_p95_mps,position_bias_e_m,position_bias_n_m,position_bias_u_m,velocity_bias_e_mps,velocity_bias_n_mps,velocity_bias_u_mps,mean_used_measurement_count,median_condition_number,median_runtime_s,maximum_constraint_residual_rad,maximum_scaled_kkt_residual
wide,stationary,0.05,reordered_dropout,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.11566949767983781,0.0776866789915946,0.18297703789255795,0.04385911744716526,0.032059020336593594,0.06498834381152133,-0.014678029588507613,0.020172283520025758,0.024522378157772806,0.011180408587958152,-0.013312167647274088,-0.009520693890119742,13.25,170.5938724023694,0.07086440006969497,0.0,5.000143180214582e-07
wide,stationary,0.05,reordered_dropout,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.0979674135699192,0.08763835952301065,0.1346819329439522,0.029735096046832495,0.030526841529529745,0.03682212736853254,-0.0033860553668496607,-0.001343319073171756,0.022966685562822775,0.003986876407031193,0.00012129855970169964,-0.008085189657995536,17.0,106.79158499998351,0.07884769997326657,0.0,3.147045025233984e-07
wide,stationary,0.2,ordered,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.019999999999999,4,5,4,1.0,{},0.2924744173682253,0.2715861796310052,0.39376586284044524,0.09130008403011503,0.0866976506517868,0.11474082847764432,-0.19590399134234993,0.07874098740118995,0.028973523790332578,0.05125366898934357,-0.023044903482465684,0.0072213625447246355,19.0,115.8106790740049,0.07514949998585507,0.0,3.928507457101494e-09
wide,stationary,0.2,ordered,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,4,1.0,{},2.193323635237477,1.7991057114840368,3.196169454330603,2.4668329166893215,1.8303106189499048,3.7169791255025193,-0.5646518430830145,0.2831001736142902,0.32937342417129223,0.5767429547927598,-0.23895820179178667,-0.19782809490781683,4.0,37471.55619944274,0.02255074994172901,0.0,6.871542178142873e-08
wide,stationary,0.2,ordered,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.5721635566107267,0.5456579768817796,0.7882544995311724,0.4121286277251048,0.42565434073630737,0.5256071048245052,-0.13139339239007874,0.06750673347213265,0.26557100877365514,-0.007555041036783436,0.008826930763391777,-0.1481022190792077,8.0,817.5727549512914,0.03648565005278215,0.0,7.586965939805502e-09
wide,stationary,0.2,ordered,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.3833945994012146,0.3523568432101326,0.529693431163031,0.1859045792038343,0.16194950230943533,0.25980857498277915,-0.12243498647882767,0.1062393271796882,0.23719479153610123,-0.0041309334826174085,-0.0355901290766143,-0.12946630003159715,12.0,280.88980685849776,0.054296249989420176,0.0,1.4004858007175499e-08
wide,stationary,0.2,ordered,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.3418563720722171,0.34102139698525585,0.42772271161166925,0.12301452317153379,0.12470733106819654,0.14769492379836885,-0.21226861162015176,0.10908528727300038,0.04896432558905417,0.06081281130030228,-0.0405138641728978,-0.004313438145107137,16.0,162.524935273827,0.06942050001816824,0.0,2.2179665672187602e-08
wide,stationary,0.2,ordered,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.2924744173682253,0.2715861796310052,0.39376586284044524,0.09130008403011503,0.0866976506517868,0.11474082847764432,-0.19590399134234993,0.07874098740118995,0.028973523790332578,0.05125366898934357,-0.023044903482465684,0.0072213625447246355,19.0,115.8106790740049,0.07002200005808845,0.0,3.928507457101494e-09
wide,stationary,0.2,reordered_dropout,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.368901875211531,4,5,4,1.0,{},0.2911253887590462,0.30036532284660744,0.3769015817461313,0.079893986966999,0.07882822233800532,0.1049998211279977,0.051435720192857914,-0.029208647632261275,-0.008947146423890828,-0.017943279519525512,-0.000911421526273869,0.004538508474486176,17.0,106.89863340054663,0.07999535003909841,0.0,1.3984437876079217e-08
wide,stationary,0.2,reordered_dropout,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,4,1.0,{},2.2369908813616695,1.8327190124645703,3.1593338028898503,3.015261483347298,2.4321924524297565,4.255983764351203,-1.0131287210155708,-1.2394686522825786,-0.8547949847716829,1.1914455389782606,1.5410730416573213,0.9160076312337604,3.25,50944.878776132144,0.015544400026556104,0.0,1.9788822229809884e-08
wide,stationary,0.2,reordered_dropout,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.7477359997195383,0.7149458881980324,0.9461808397239001,0.7078077113665464,0.6067499925609716,1.0045575016725243,-0.34858674399977296,-0.09277808974625934,-0.39891642969610785,0.392619286165917,0.06816012472188904,0.39671181930204014,6.0,1627.4853577488302,0.03234679996967316,0.0,7.915672087732555e-09
wide,stationary,0.2,reordered_dropout,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.31119213647154803,0.24736358770018238,0.47154409695479393,0.2227576526331726,0.21504414887387974,0.2965769790738218,0.07490349813013708,0.004110389246266166,-0.054368562529862885,-0.03326916511032852,-0.03133519813261569,0.04488051343859989,8.25,526.6245109608896,0.03332399995997548,0.0,6.723696397201406e-09
wide,stationary,0.2,reordered_dropout,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.31433594614313315,0.3464619986096594,0.377574123298036,0.09372178730701143,0.09196911526136764,0.12300146019969746,0.052335189545170024,-0.05059447367089298,0.017317361828459,-0.01641098999023734,0.0091996291514269,-0.01045263749854921,13.0,172.6736974098602,0.054552550020162016,0.0,8.490749935602173e-08
wide,stationary,0.2,reordered_dropout,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.2911253887590462,0.30036532284660744,0.3769015817461313,0.079893986966999,0.07882822233800532,0.1049998211279977,0.051435720192857914,-0.029208647632261275,-0.008947146423890828,-0.017943279519525512,-0.000911421526273869,0.004538508474486176,17.0,106.89863340054663,0.06450630002655089,0.0,1.3984437876079217e-08
wide,oblique_slow,0.05,ordered,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.019999999999999,4,5,4,1.0,{},0.03777337967546645,0.03784175188816626,0.050645209057356456,0.01635250423333193,0.015028947027840956,0.022617554499391825,0.005290916300129567,0.0029020846323408733,-0.010271558580965845,-0.0025240240332455866,-0.0018418062479954589,-0.0008768622416813199,19.0,142.5593990743564,0.08912970003439113,0.0,6.772302614475144e-08
wide,oblique_slow,0.05,ordered,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,4,1.0,{},0.5429288849870545,0.5123191112498751,0.6410315319620701,0.6915274982112415,0.6628967076254118,0.8628620489624932,-0.06038350670284309,-0.11748808625651463,-0.1412560417100206,0.07946703238752262,0.13367692110999962,0.14419926939618982,4.0,72148.32770677221,0.02214250003453344,0.0,5.4677655873807454e-09
