split,evaluation_seed,qc_alpha_m2_s3,geometry,trajectory_kind,variant,period,independent_sequence_count,dependent_publication_count,valid_publication_count,valid_fraction,confirmed_fraction,position_rmse_m_conditional,position_p95_m_conditional,position_max_m_conditional,velocity_rmse_mps_conditional,velocity_p95_mps_conditional,velocity_max_mps_conditional,coverage_conditional,valid_and_covered_fraction,mean_clean_rejected_during_per_sequence,clean_nis_rejection_fraction_during,mean_reset_count,mean_first_confirmation_time_s,mean_last_recovery_duration_s,mean_first_post_onset_accepted_update_processing_lag_s,mean_first_post_onset_accepted_update_first_publication_lag_s,mean_runtime_s_per_sequence,maximum_history_memory_bytes,maximum_history_nodes
evaluation,20260916,1.0,informative,constant_velocity,manoeuvre_history,post,8,64,64,1.0,1.0,1.672441354858977,3.0305369023886253,4.3446943121995405,0.721283469937121,1.0478195016800964,1.3515616020308405,1.0,1.0,0.25,0.016666666666666666,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.15972217500075203,167232,24
evaluation,20260916,1.0,informative,constant_velocity,manoeuvre_history,pre,8,80,23,0.2875,0.2875,1.7934602944192153,3.9724535200912077,4.112644522036156,0.6575875218432807,1.3754435448577143,1.4024559592789838,0.9130434782608695,0.2625,0.25,0.016666666666666666,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.15972217500075203,167232,24
evaluation,20260916,1.0,informative,smooth_turn,confirmed_recovery,during,8,72,65,0.9027777777777778,0.9027777777777778,3.2637175810068073,6.546557307325355,8.554504985048533,2.67364910304945,4.531024457596056,4.692021886109075,0.12307692307692308,0.1111111111111111,4.25,0.2833333333333333,1.0,3.253892515515598,2.6098149494919736,0.6165325999486632,0.8125,0.23978598749999946,0,0
evaluation,20260916,1.0,informative,smooth_turn,confirmed_recovery,post,8,64,30,0.46875,0.46875,1.8938408128996342,3.0332105124638282,3.7984599349482737,0.7104635777547579,1.1046380839526233,1.1516590990994588,1.0,0.46875,4.25,0.2833333333333333,1.0,3.253892515515598,2.6098149494919736,0.6165325999486632,0.8125,0.23978598749999946,0,0
evaluation,20260916,1.0,informative,smooth_turn,confirmed_recovery,pre,8,80,23,0.2875,0.2875,1.1627175227569222,2.1393678687034727,3.0079271019351888,0.45605253306221627,0.7708383077974709,1.178544221551591,0.9565217391304348,0.275,4.25,0.2833333333333333,1.0,3.253892515515598,2.6098149494919736,0.6165325999486632,0.8125,0.23978598749999946,0,0
evaluation,20260916,1.0,informative,smooth_turn,manoeuvre_history,during,8,72,72,1.0,1.0,1.9634913990086824,3.443066690086981,4.963972233036286,1.9590859069455377,3.2222524496671747,3.6522309919700597,1.0,1.0,0.125,0.008333333333333333,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.17044547499790497,167232,24
evaluation,20260916,1.0,informative,smooth_turn,manoeuvre_history,post,8,64,64,1.0,1.0,1.7765029992251584,3.2938807687148923,3.8322811109739785,0.8313061650147273,1.2846856117060423,2.3710596637497905,1.0,1.0,0.125,0.008333333333333333,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.17044547499790497,167232,24
evaluation,20260916,1.0,informative,smooth_turn,manoeuvre_history,pre,8,80,23,0.2875,0.2875,1.7934602944192153,3.9724535200912077,4.112644522036156,0.6575875218432807,1.3754435448577143,1.4024559592789838,0.9130434782608695,0.2625,0.125,0.008333333333333333,0.0,3.253892515515598,nan,0.6165325999486632,0.8125,0.17044547499790497,167232,24
evaluation,20260916,1.0,poorly_conditioned,constant_acceleration_segment,confirmed_recovery,during,8,72,51,0.7083333333333334,0.7083333333333334,3.177656844532608,6.130695939209316,8.259778655224371,2.7447957369104055,4.48820858449095,5.206454840693926,0.11764705882352941,0.08333333333333333,4.25,0.2833333333333333,1.0,4.368075141905226,2.615545639561562,1.2024121316915295,1.5,0.9445861624999452,0,0
evaluation,20260916,1.0,poorly_conditioned,constant_acceleration_segment,confirmed_recovery,post,8,64,40,0.625,0.625,2.2520645051011083,5.403262646613183,7.262178162433749,0.8347085728840551,2.1839288863767345,2.3840315251861544,0.825,0.515625,4.25,0.2833333333333333,1.0,4.368075141905226,2.615545639561562,1.2024121316915295,1.5,0.9445861624999452,0,0
evaluation,20260916,1.0,poorly_conditioned,constant_acceleration_segment,confirmed_recovery,pre,8,80,9,0.1125,0.1125,0.8035845993165285,1.1471158855920311,1.2037699447109658,0.31488809695286085,0.4348476053486891,0.45021879235999535,1.0,0.1125,4.25,0.2833333333333333,1.0,4.368075141905226,2.615545639561562,1.2024121316915295,1.5,0.9445861624999452,0,0
evaluation,20260916,1.0,poorly_conditioned,constant_acceleration_segment,manoeuvre_history,during,8,72,65,0.9027777777777778,0.9027777777777778,1.8937512992461116,3.310991486202844,5.095237584889268,2.0540906681578495,3.233181378461106,3.416876121634842,0.9538461538461539,0.8611111111111112,0.625,0.041666666666666664,0.125,4.368075141905226,2.5999122198183047,1.2034837642706808,1.5,0.7704537374993379,181400,25
