geometry,trajectory_kind,sequence_index,seed,variant,event_count,initialization_event_count,accepted_update_count,rejected_event_count,clean_rejected_during_count,during_event_count,reset_count,first_confirmation_time_s,last_recovery_duration_s,first_post_onset_accepted_update_processing_time_s,first_post_onset_accepted_update_first_publication_time_s,runtime_s,maximum_history_memory_bytes,maximum_history_nodes,rejection_reasons_json
poorly_conditioned,constant_velocity,1,20260916,confirmed_recovery,45,17,28,0,0,15,0,4.893619146006804,nan,5.729402409831356,6.0,1.0624400999950012,0,0,{}
poorly_conditioned,constant_velocity,1,20260916,manoeuvre_history,45,17,26,2,1,15,0,4.893619146006804,nan,5.729402409831356,6.0,1.0331568000037805,153640,23,"{""emission_outside_history"": 1, ""pre_update_nis_gate"": 1}"
poorly_conditioned,constant_velocity,2,20260916,confirmed_recovery,45,18,25,2,1,15,0,5.455861594791652,nan,5.7193935095127735,6.0,1.271413800001028,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 1}"
poorly_conditioned,constant_velocity,2,20260916,manoeuvre_history,45,18,23,4,1,15,0,5.455861594791652,nan,6.75838237635201,7.0,1.2183612000007997,153640,23,"{""confirmed_initialization_consensus_outlier"": 1, ""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
poorly_conditioned,constant_velocity,3,20260916,confirmed_recovery,45,10,35,0,0,15,0,3.265969744091086,nan,5.421990190907103,5.5,0.12480250000226079,0,0,{}
poorly_conditioned,constant_velocity,3,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.265969744091086,nan,5.421990190907103,5.5,0.15919640000356594,181400,25,"{""emission_outside_history"": 2}"
poorly_conditioned,constant_velocity,4,20260916,confirmed_recovery,45,10,33,2,0,15,0,3.0846965669561057,nan,5.7588355165122955,6.0,0.11746319999656407,0,0,"{""pre_update_nis_gate"": 2}"
poorly_conditioned,constant_velocity,4,20260916,manoeuvre_history,45,10,32,3,0,15,0,3.0846965669561057,nan,5.7588355165122955,6.0,0.15692970000236528,153640,23,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
poorly_conditioned,constant_velocity,5,20260916,confirmed_recovery,45,17,28,0,0,15,0,5.015419715163071,nan,5.562526259299697,6.0,1.0176924999977928,0,0,{}
poorly_conditioned,constant_velocity,5,20260916,manoeuvre_history,45,17,27,1,0,15,0,5.015419715163071,nan,5.562526259299697,6.0,1.0221166999981506,167232,24,"{""emission_outside_history"": 1}"
poorly_conditioned,constant_velocity,6,20260916,confirmed_recovery,45,10,35,0,0,15,0,3.0739593133487304,nan,5.452004015744406,5.5,0.12742440000147326,0,0,{}
poorly_conditioned,constant_velocity,6,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.0739593133487304,nan,5.452004015744406,5.5,0.16072839999833377,140624,22,"{""emission_outside_history"": 2}"
poorly_conditioned,constant_velocity,7,20260916,confirmed_recovery,45,17,28,0,0,15,0,4.967189587572557,nan,5.574023032085352,6.0,1.0696689000033075,0,0,{}
poorly_conditioned,constant_velocity,7,20260916,manoeuvre_history,45,17,27,1,0,15,0,4.967189587572557,nan,5.574023032085352,6.0,1.0892746000026818,153640,23,"{""emission_outside_history"": 1}"
poorly_conditioned,constant_acceleration_segment,0,20260916,confirmed_recovery,45,26,15,4,4,15,1,4.85602280066249,2.223484404013238,5.564026481978781,6.0,1.0978524000020116,0,0,"{""pre_update_nis_gate"": 4}"
poorly_conditioned,constant_acceleration_segment,0,20260916,manoeuvre_history,45,17,27,1,0,15,0,4.85602280066249,nan,5.564026481978781,6.0,1.0118791999993846,153640,23,"{""emission_outside_history"": 1}"
poorly_conditioned,constant_acceleration_segment,1,20260916,confirmed_recovery,45,26,14,5,4,15,1,4.893619146006804,2.637333138635112,5.729402409831356,6.0,1.1820263999979943,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 4}"
poorly_conditioned,constant_acceleration_segment,1,20260916,manoeuvre_history,45,17,26,2,1,15,0,4.893619146006804,nan,5.729402409831356,6.0,0.9978377000006731,153640,23,"{""emission_outside_history"": 1, ""pre_update_nis_gate"": 1}"
poorly_conditioned,constant_acceleration_segment,2,20260916,confirmed_recovery,45,26,7,12,4,15,1,5.7877242614409665,2.5999122198183047,10.556489147173247,11.0,1.5342385999974795,0,0,"{""confirmed_initialization_consensus_outlier"": 5, ""pre_update_nis_gate"": 7}"
poorly_conditioned,constant_acceleration_segment,2,20260916,manoeuvre_history,45,26,6,13,4,15,1,5.7877242614409665,2.5999122198183047,10.565062207806456,11.0,1.5359293000001344,116320,20,"{""confirmed_initialization_consensus_outlier"": 5, ""emission_outside_history"": 2, ""pre_update_nis_gate"": 6}"
poorly_conditioned,constant_acceleration_segment,3,20260916,confirmed_recovery,45,19,22,4,4,15,1,3.265969744091086,2.494142140378835,5.421990190907103,5.5,0.1955956999954651,0,0,"{""pre_update_nis_gate"": 4}"
poorly_conditioned,constant_acceleration_segment,3,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.265969744091086,nan,5.421990190907103,5.5,0.16142289999697823,181400,25,"{""emission_outside_history"": 2}"
poorly_conditioned,constant_acceleration_segment,4,20260916,confirmed_recovery,45,19,20,6,5,15,1,3.0846965669561057,2.3251112024207945,5.7588355165122955,6.0,0.2024881000033929,0,0,"{""pre_update_nis_gate"": 6}"
poorly_conditioned,constant_acceleration_segment,4,20260916,manoeuvre_history,45,10,32,3,0,15,0,3.0846965669561057,nan,5.7588355165122955,6.0,0.15320280000014463,153640,23,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
poorly_conditioned,constant_acceleration_segment,5,20260916,confirmed_recovery,45,30,10,5,4,15,1,5.015419715163071,3.6895305306686534,5.562526259299697,6.0,1.693291900002805,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 4}"
poorly_conditioned,constant_acceleration_segment,5,20260916,manoeuvre_history,45,17,26,2,0,15,0,5.015419715163071,nan,5.562526259299697,6.0,0.9995885999960592,167232,24,"{""emission_outside_history"": 1, ""pre_update_nis_gate"": 1}"
