split,sequence_count,dependent_frame_count,estimator_variant,geometry,snr_db,signal_model,trajectory_kind,quality_metric,quality_sample_count,quality_mean,quality_p50,spearman_correlation_with_absolute_angular_error,pearson_correlation_with_absolute_angular_error,sequence_seeds_json,seed_scope,quality_score_probability_claimed,quality_metric_uses_truth_online,offline_error_correlation_uses_truth,overlapping_frames_are_statistically_dependent,dependent_frames_are_independent_trials
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_mean_spectral_energy_fraction,60,0.8149762528276259,0.8161267093697342,-0.06985273687135317,-0.1089991231780863,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,boundary_hit,60,0.0,0.0,,,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_peak_score,60,0.12341324502089693,0.12288725434679024,-0.24140038899694363,-0.20635912011484728,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_score_margin,60,0.04069166238496565,0.041214735370201774,-0.5807168657960545,-0.6541939792884904,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_local_curvature_eigenvalue_min,60,18.426513542983283,18.39945127229832,-0.300805779383162,-0.3638956888730571,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_local_curvature_eigenvalue_max,60,20.700693109405318,20.557633146077144,-0.3445957210336205,-0.36193481514919323,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_used_spectral_energy,60,13423189.120420566,13415043.28931892,-0.07985551542095029,-0.0648290911444801,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_mean_spectral_energy_fraction,60,0.8147825856458926,0.8143551437916798,-0.02167268685746041,-0.03823179128805715,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,boundary_hit,60,0.0,0.0,,,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_ratio,60,1.9511747467414722,1.9352876401510202,-0.015282022784106699,0.052641826698829476,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_minimum_peak_ratio,60,1.7446300549055551,1.7232174406732714,-0.09763823284245625,-0.11602123954522067,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_curvature,60,0.008640365240435367,0.008781514911950866,-0.3154209502639623,-0.29017585560075587,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_total_spectral_energy,60,6711773.968158361,6663347.850341797,-0.11997777160322316,-0.13416257285574215,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_boundary_count,60,0.0,0.0,,,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_valid_pair_count,60,3.0,3.0,,,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_ratio,60,1.8992587410894024,1.85843468744309,-0.2249513753820506,-0.2741541636795504,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_minimum_peak_ratio,60,1.7293145905369944,1.7078642751862487,-0.25751597666018344,-0.28365262688403875,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
