study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,true_tdoa_s,true_tdoa_us,bias_s,bias_us,standard_deviation_us,rmse_us,median_absolute_error_us,p95_absolute_error_us,catastrophic_outlier_fraction_gt_1_sample,mean_peak_value,mean_peak_to_second_peak_ratio,median_peak_to_second_peak_ratio,mean_peak_curvature,mean_used_spectral_energy,mean_spectral_energy_fraction,boundary_hit_fraction,invalid_fraction
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,0-1,1000,2000,2849726781,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-9.410462345888961e-07,-0.9410462345888961,19.515622889294562,19.533424559058076,5.3635598483385145,16.54306396816928,0.022,0.029672956393371308,1.5765894717970728,1.5577264776928175,0.001669560368657551,132926.95901491665,0.8425175355612647,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,0-2,1000,2000,2849726781,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,-2.633328362196337e-06,-2.633328362196337,52.701305908491605,52.75389415864321,5.529382037955355,17.06239271593593,0.021,0.0292848266390976,1.5835373950315779,1.55838784779185,0.0016756834961102187,130900.79425006657,0.8414943873676043,0.0015,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,0-3,1000,2000,2849726781,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-2.6654727681679316e-07,-0.2665472768167932,12.278947289520078,12.278770610949676,5.346637861115556,17.786547050322188,0.028,0.02982678669076729,1.5818308222646689,1.5596490100796183,0.0016760632848903609,133031.58192103947,0.842723283520354,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,1-2,1000,2000,2849726781,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-3.4759884514971377e-07,-0.3475988451497138,17.920336197372322,17.919227247827646,5.178413414344828,16.58173863221677,0.024,0.02951238674194562,1.5622883638346998,1.541389610861825,0.0016418777875491573,130619.67245543082,0.8415196894772257,0.0005,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,1-3,1000,2000,2849726781,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,8.314123448966266e-07,0.8314123448966266,34.46350652673018,34.46491929432247,5.331872865584481,16.770873308320837,0.0205,0.029968701848156618,1.5746462251722195,1.5536143650033791,0.0016903582746532377,132701.33416335896,0.842474632783116,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,2-3,1000,2000,2849726781,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,1.0633732874588198e-06,1.0633732874588198,26.931204368156074,26.94546133551085,5.298450150463524,16.536839759276514,0.024,0.029661868721219172,1.5748787298749363,1.554063053808644,0.00166473820571664,130678.8772207571,0.8414509425351175,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,0-1,1000,2000,4177773225,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,2.557045383316647e-07,0.2557045383316647,6.438110332709298,6.439968959739286,4.227913527428086,12.955725474713722,0.002,0.03599711081561134,1.5980695834160297,1.578156352116304,0.00201363980188796,105470.02271842415,0.8664657291473814,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,0-2,1000,2000,4177773225,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,3.627814460656494e-08,0.03627814460656494,6.529421454585673,6.52625675949454,4.304433891616597,12.886310180382516,0.002,0.03497391797967494,1.6037912741809728,1.5868870768377836,0.001981827530693956,103873.18847692889,0.8652425843445408,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,0-3,1000,2000,4177773225,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-4.244042555751689e-08,-0.04244042555751689,6.528653185982908,6.525526055433648,4.424863763966219,12.964378931073457,0.004,0.0357397971855713,1.600752642226479,1.5798828559050624,0.002007192042969432,105644.21896951113,0.8667535488861531,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,1-2,1000,2000,4177773225,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,4.7395231314627324e-08,0.04739523131462733,6.361933679340638,6.358928545607328,4.041276553945933,12.763205477851546,0.005,0.035669817811877925,1.6058243736000153,1.5830643947365557,0.002027915551509846,103571.34900853928,0.8653268446408853,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,1-3,1000,2000,4177773225,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,-2.706170053692886e-07,-0.27061700536928857,7.760726715690903,7.761564522702746,4.231729954363514,12.602127763834282,0.005,0.03601154566208771,1.593175502804983,1.5690325993294363,0.0020272022181965447,105299.68872451648,0.8665147454015975,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,2-3,1000,2000,4177773225,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,-7.369693269682618e-10,-0.0007369693269682618,6.22614125785372,6.223027452205987,4.2575759421321715,11.853648313082678,0.003,0.035791484804280516,1.5982365508186982,1.578549153074535,0.002030386837689085,103671.3838583258,0.8650055328370627,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,0-1,1000,2000,1688469051,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-2.5903633368510985e-10,-0.00025903633368510985,6.313447740101438,6.3118691861372,4.2459006939359085,12.441230070164275,0.0015,0.03599328867282758,1.6023150295143713,1.5836598611841541,0.002027097003840297,105563.65784449615,0.8665638167443283,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,0-2,1000,2000,1688469051,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,-6.195164011169416e-07,-0.6195164011169416,21.393315112807443,21.39693658263655,4.123778073069923,12.752737484922678,0.0025,0.03543029901662997,1.6047148642248144,1.5783053695556806,0.002018287546197637,103850.84139926048,0.8651521956503659,0.0,0.0
