geometry,profile,variant,independent_sequence_count,dependent_epoch_count,final_valid_count,final_invalid_count,conditional_error_sequence_count,final_valid_fraction,final_valid_ci95_low,final_valid_ci95_high,conditional_position_rmse_m,conditional_position_p95_m,conditional_position_maximum_m,conditional_velocity_rmse_mps,conditional_velocity_p95_mps,conditional_velocity_maximum_mps,conditional_position_error_gt_10m_fraction,conditional_position_error_gt_50m_fraction,conditional_state_95_coverage_fraction,state_95_covered_count,unconditional_valid_and_covered_fraction,unconditional_valid_and_covered_ci95_low,unconditional_valid_and_covered_ci95_high,mean_confirmed_epoch_fraction,mean_first_confirmation_time_s,p95_first_confirmation_time_s,mean_hypothesis_count,sequence_with_reset_count,sequence_with_reset_fraction,total_reset_count,false_reset_count_evaluator_only,false_reset_rate_per_sequence_evaluator_only,completed_recovery_count,censored_recovery_count,mean_completed_recovery_duration_s,final_failure_reason_counts_json,mean_runtime_s,p95_method,truth_used_by_estimator,selection_covariance_assumed_calibrated,diagnostic_position_thresholds_m,paired_vs_c1_baseline_valid_fraction_difference,paired_vs_c1_baseline_valid_difference_ci95_low,paired_vs_c1_baseline_valid_difference_ci95_high,paired_vs_c1_baseline_position_rmse_difference_m,paired_vs_c1_baseline_position_rmse_difference_ci95_low_m,paired_vs_c1_baseline_position_rmse_difference_ci95_high_m,paired_vs_d2_combined_published_valid_fraction_difference,paired_vs_d2_combined_published_valid_difference_ci95_low,paired_vs_d2_combined_published_valid_difference_ci95_high,paired_vs_d2_combined_published_position_rmse_difference_m,paired_vs_d2_combined_published_position_rmse_difference_ci95_low_m,paired_vs_d2_combined_published_position_rmse_difference_ci95_high_m
informative,one_station_gap,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7760484548632878,1.393138727981707,1.937206529623285,0.07448392063729843,0.1497466922962725,0.17888720034925834,0.0,0.0,0.94,94,0.94,0.8752318455410406,0.9722138760368118,0.842222222222222,1.9277667633152327,2.0622772773463987,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.1624642169883009,linear,False,False,"10,50",0.0,0.0,0.0,0.017682579705581736,-0.0008342197379178101,0.038134104551610176,0.0,0.0,0.0,0.0,0.0,0.0
informative,one_station_gap,confirmed_recovery,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7701351733616106,1.406782997564584,1.938198737516799,0.0738402662773958,0.14302569576841856,0.17864470967927382,0.0,0.0,0.94,94,0.94,0.8752318455410406,0.9722138760368118,0.7011111111111111,3.7804202407302294,6.04580569760671,1.19,0,0.0,0,0,0.0,0,0,nan,{},0.40979513598489575,linear,False,False,"10,50",0.0,0.0,0.0,0.011769298203904599,-0.007357550109506963,0.033103717316466615,0.0,0.0,0.0,-0.005913281501677137,-0.013457862912148188,0.0003430320729801496
informative,all_station_gap,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7824972151989499,1.3117750156871666,2.0028122085358198,0.07496530187373625,0.13954683371965387,0.17695010774281045,0.0,0.0,0.95,95,0.95,0.8882495307680808,0.9784563208456319,0.842222222222222,1.9277667633152327,2.0622772773463987,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.08915837602922692,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036457402449108223,-0.02245772958654609,0.01427964388950853
informative,all_station_gap,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7861429554438607,1.3344078522824205,2.05278591665498,0.07515108526482986,0.14208093002312933,0.17695010774281045,0.0,0.0,0.95,95,0.95,0.8882495307680808,0.9784563208456319,0.842222222222222,1.9277667633152327,2.0622772773463987,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.14006128701381385,linear,False,False,"10,50",0.0,0.0,0.0,0.0036457402449108223,-0.014988533889213465,0.021664385471737775,0.0,0.0,0.0,0.0,0.0,0.0
informative,all_station_gap,confirmed_recovery,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7959224265695576,1.2958290343890069,2.1285448536104767,0.07524949461212668,0.13862572927325584,0.17270185182436826,0.0,0.0,0.96,96,0.96,0.9016292856411208,0.9843366960084523,0.3374074074074074,8.677047623043713,10.511787052348447,2.12,0,0.0,0,0,0.0,0,0,nan,{},1.3574793050147127,linear,False,False,"10,50",0.0,0.0,0.0,0.013425211370607704,-0.012745063911523864,0.0397162106158337,0.0,0.0,0.0,0.009779471125696881,-0.011602064196524875,0.03189305550383548
informative,long_delay,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7401697627933445,1.3328367530644285,2.0315435595301268,0.07043515346107787,0.12676123968338157,0.18032120457494036,0.0,0.0,0.97,97,0.97,0.9154806357094724,0.9897454759759611,0.7711111111111109,2.843339721632631,3.3032962899139036,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.11924539901548997,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018714232050999202,-0.04982012701251892,0.00541252083830765
informative,long_delay,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7588839948443437,1.4392844432113077,2.0315435595301268,0.07200277699390809,0.13773794320220525,0.18032120457494036,0.0,0.0,0.96,96,0.96,0.9016292856411208,0.9843366960084523,0.7711111111111109,2.843339721632631,3.3032962899139036,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.1729058470140444,linear,False,False,"10,50",0.0,0.0,0.0,0.018714232050999202,-0.004996487485020171,0.04693182638856373,0.0,0.0,0.0,0.0,0.0,0.0
informative,long_delay,confirmed_recovery,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7535944120277422,1.4392990337310956,2.031449389955604,0.07108361025644873,0.13875862830403116,0.18028799325812775,0.0,0.0,0.96,96,0.96,0.9016292856411208,0.9843366960084523,0.6800000000000003,4.051171260549973,5.605238791330612,1.13,0,0.0,0,0,0.0,0,0,nan,{},0.36667015497689137,linear,False,False,"10,50",0.0,0.0,0.0,0.01342464923439779,-0.013458590397145817,0.04493432312251168,0.0,0.0,0.0,-0.0052895828166014125,-0.01293100456791486,0.0016794595371234784
informative,outlier_mild,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,1.6929752593876077,3.3488306138541484,4.248731645817745,0.16452092247757202,0.311774132621924,0.3952258925892962,0.0,0.0,0.25,25,0.25,0.17545211362287672,0.34304463548061603,0.842222222222222,1.9277667633152327,2.0622772773463987,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.12029839000082575,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.975234001923356,-27.063887873990964,0.9755606160282896
informative,outlier_mild,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,16.668209261310963,1.5326003498092347,156.2823563096221,1.2793396093061349,0.14140123560838663,11.933791555787849,0.02,0.02,0.95,95,0.95,0.8882495307680808,0.9784563208456319,0.8299999999999997,2.086579575409553,2.526485422822115,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.37753333999135064,linear,False,False,"10,50",0.0,0.0,0.0,14.975234001923356,-0.9973622696193701,26.528521288845862,0.0,0.0,0.0,0.0,0.0,0.0
informative,outlier_mild,confirmed_recovery,100,2700,99,1,99,0.99,0.9455138038212946,0.9982325679358593,0.780507869554742,1.4041695135167507,2.1221813341539493,0.07475163442180481,0.13334970299124038,0.1869476770026731,0.0,0.0,0.9393939393939394,93,0.93,0.8625048526092651,0.9656807389327273,0.7066666666666669,3.671556945612181,4.976702468444506,1.49,1,0.01,1,0,0.0,0,1,nan,"{""tentative_initialization_unconfirmed"": 1}",0.6529799159750109,linear,False,False,"10,50",-0.01,-0.03,0.0,-0.9124673898328657,-1.097564670227476,-0.7209889318491249,-0.01,-0.03,0.0,-15.88770139175622,-27.53817146111133,0.0007490585239270696
informative,outlier_strong,c1_baseline,100,2700,52,48,52,0.52,0.4231657776522397,0.615354482419481,8.381406086212488,14.980962224006067,25.381781167064155,0.775925639908719,1.1993837042615032,2.040137189823856,0.17307692307692307,0.0,0.0,0,0.0,0.0,0.03699349820698568,0.4377777777777779,1.9223352085801069,2.0534971863677653,0.52,0,0.0,0,0,0.0,0,0,nan,"{""initialization_failed:initialization_quality_gate_failed"": 37, ""initialization_failed:projected_kkt_not_satisfied"": 11}",4.270790506001795,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.5702499999999999,-0.38,7.5870713136491,6.03429053128086,9.329207923954083
informative,outlier_strong,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7943347725633875,1.3452583723987623,2.12154609183758,0.07575999270349146,0.13318363323852964,0.1869006585238804,0.0,0.0,0.97,97,0.97,0.9154806357094724,0.9897454759759611,0.8218518518518516,2.195385644349896,2.6638407963670314,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.9435192230046959,linear,False,False,"10,50",0.48,0.38,0.58,-7.5870713136491,-9.20011034456588,-6.044505147293798,0.0,0.0,0.0,0.0,0.0,0.0
informative,outlier_strong,confirmed_recovery,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7863052344982979,1.3730036632551936,2.120234781932455,0.0757719370263795,0.13974102538140287,0.1866828702489113,0.0,0.0,0.98,98,0.98,0.929988209271456,0.9944980324498376,0.6955555555555557,3.849704776685611,5.758914958510714,1.35,0,0.0,0,0,0.0,0,0,nan,{},1.0837119039980463,linear,False,False,"10,50",0.48,0.38,0.58,-7.59510085171419,-9.242219503824753,-6.010764524839282,0.0,0.0,0.0,-0.008029538065089548,-0.01972134815471157,0.002288497236676012
informative,mixed,c1_baseline,100,2700,69,31,69,0.69,0.5937394428051057,0.7722030278762395,6.655623616185332,11.58583209116005,21.743092029792408,0.6488319716039339,1.0771790609459273,2.5055764860270773,0.14492753623188406,0.0,0.21739130434782608,15,0.15,0.0930598528365663,0.23283559590832364,0.5107407407407407,3.2574826558753807,3.9813968231557006,0.69,0,0.0,0,0,0.0,0,0,nan,"{""initialization_failed:initialization_quality_gate_failed"": 28, ""initialization_failed:projected_kkt_not_satisfied"": 3}",1.7861759890284157,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.4,-0.22,5.798132638365839,4.34332735578893,7.260734013412899
informative,mixed,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.857490977819493,1.7026742726057151,2.1372740858734183,0.08165101058782705,0.14539336144781206,0.1995875745185323,0.0,0.0,0.99,99,0.99,0.9455138038212946,0.9982325679358593,0.727777777777778,3.43087622709285,4.398004702059106,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.3612414609984262,linear,False,False,"10,50",0.31,0.22,0.4,-5.798132638365839,-7.1810926616958755,-4.3388458772076675,0.0,0.0,0.0,0.0,0.0,0.0
informative,mixed,confirmed_recovery,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.8668105682864724,1.701061466015711,2.254346813324965,0.08335099025322705,0.16500087809265698,0.2048709894172516,0.0,0.0,0.98,98,0.98,0.929988209271456,0.9944980324498376,0.6029629629629628,5.09454405595089,7.520201598848447,1.21,0,0.0,0,0,0.0,0,0,nan,{},0.6503933500102721,linear,False,False,"10,50",0.31,0.22,0.4,-5.78881304789886,-7.169123792989347,-4.288837968563603,0.0,0.0,0.0,0.009319590466979388,-0.0046417092559594255,0.027365609351404762
poorly_conditioned,nominal,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.551566383544899,0.889197898296985,0.9936377757225059,0.05852418195126732,0.09718705939156143,0.138330808289207,0.0,0.0,0.92,92,0.92,0.8500189229905127,0.9589065385156194,0.8392592592592591,1.9371840851577378,2.090646332977782,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.1250329070072621,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015538677644662768,-0.03304226823640888,0.00013525995774251454
