array,noise_model,azimuth_deg,elevation_deg,sigma_tdoa_us,sigma_toa_us,marginal_tdoa_std_us,n_trials,seed,bias_azimuth_rad,bias_elevation_rad,bias_azimuth_deg,bias_elevation_deg,physical_bias_rad,physical_bias_deg,emp_cov_phi_phi_rad2,emp_cov_phi_elevation_rad2,emp_cov_elevation_elevation_rad2,crlb_phi_phi_rad2,crlb_phi_elevation_rad2,crlb_elevation_elevation_rad2,normalized_cov_eigenvalue_min,normalized_cov_eigenvalue_max,normalized_cov_frobenius_error,whitened_bias_norm,geodesic_rmse_rad,geodesic_rmse_deg,median_geodesic_error_rad,median_geodesic_error_deg,p95_geodesic_error_rad,p95_geodesic_error_deg,fraction_over_10deg,angular_crlb_rms_rad,angular_crlb_rms_deg,rmse_to_crlb_ratio,optimizer_success_fraction,boundary_fraction,fisher_rank,fisher_condition_number,fisher_eigenvalue_min,fisher_eigenvalue_max,direction_id,pair_scheme,bias_z_azimuth,bias_z_elevation,low_noise_ratio_pass,low_noise_covariance_pass,low_noise_bias_pass,low_noise_overall_pass
square,independent_toa,119.99999999999999,50.0,,35.35533905932737,49.99999999999999,2000,1560337564,0.002454158168896592,-0.015584927015735502,0.140612905335329,-0.8929505420210614,0.015664560769684355,0.8975132200291139,0.017467777410722012,0.0002820568457075223,0.013566974433743929,0.01779644529430533,-8.198563582505943e-20,0.012530266974242641,0.978121567803533,1.0861465188662027,0.08888131698023181,0.14043750246399578,0.1448746959176263,8.300708634321165,0.11705578200716038,6.70680227661369,0.252741834759287,14.481040438099996,0.2335,0.141008260305,8.079178191958597,1.027419922806389,1.0,0.0,2,1.4202766254612058,56.1909967672021,79.80675926982333,az120_el50,reference_0,0.01839653018283073,0.1392273671932247,,,,
tetrahedral,independent_tdoa,20.0,10.0,1.0,,1.0,2000,1429968956,-7.950838557465589e-05,5.773859537055415e-05,-0.0045554949293266185,0.003308177829746346,9.728673963643252e-05,0.005574119583755684,4.9596884876736355e-06,-1.3352614680963228e-06,4.071330373779511e-06,4.947506567777187e-06,-1.403971736457282e-06,4.119099349357121e-06,0.983210119852109,1.0171579656537233,0.024006162974429843,0.04012847927733504,0.002981006831501155,0.17079911014468233,0.0024396202566471393,0.1397799443205038,0.0051856916234210675,0.29711824387837144,0.0,0.0029862050063183426,0.17109694362287836,0.9982592706106281,1.0,0.0,2,1.9537670379110332,166747.26603753885,325785.3120459253,az20_el10,reference_0,0.03574536577371977,0.028448873945589277,True,True,True,True
tetrahedral,independent_tdoa,20.0,10.0,5.0,,5.0,2000,1803642815,4.646193279198042e-05,0.00015236823020335754,0.0026620726570009594,0.008730056522530144,0.00015909021235334058,0.009115197729686447,0.00012426644728495562,-3.6847382468895715e-05,0.00010492521227097086,0.00012368766419442964,-3.509929341143204e-05,0.00010297748373392802,0.9926495602574795,1.0228043240938656,0.023959677831441942,0.01766650659139827,0.015011605859288705,0.8601016594511004,0.012423500230547122,0.7118141299901553,0.02639401199589067,1.5122654917822018,0.0,0.014931025031591712,0.8554847181143918,1.0053968717838524,1.0,0.0,2,1.9537670379110335,6669.890641501555,13031.412481837015,az20_el10,reference_0,0.004177669487814935,0.015014929083565772,,,,
tetrahedral,independent_tdoa,20.0,10.0,10.0,,10.0,2000,2630375152,-0.00016281410840247927,-2.723204851273018e-05,-0.009328561256647536,-0.0015602814472749497,0.00016263668489445554,0.009318395638451372,0.0005032051197209251,-0.00014381316581085828,0.0004002630681574207,0.0004947506567777185,-0.00014039717364572817,0.0004119099349357121,0.965207872479053,1.0171965965522445,0.03880998673556192,0.008250633883963946,0.02979682641300107,1.707232396348897,0.02374297124622382,1.3603720455090935,0.05266188915044048,3.01730398950602,0.0,0.029862050063183425,1.7109694362287835,0.9978158348122667,1.0,0.0,2,1.9537670379110335,1667.4726603753888,3257.8531204592537,az20_el10,reference_0,0.007319793775090587,0.0013417734020837117,,,,
tetrahedral,independent_tdoa,20.0,10.0,20.0,,20.0,2000,4263752787,-0.0006771634166165513,0.002934494049988459,-0.03879860581278743,0.16813412407059072,0.003009315310668366,0.17242106652539751,0.0019667479171766606,-0.0005700551577119877,0.0016644284840040976,0.001979002627110874,-0.0005615886945829127,0.0016476397397428484,0.99087463781442,1.010321939834967,0.013777324739392903,0.0726966098849312,0.05980105615669664,3.426348128203545,0.04976127400182919,2.851110983498881,0.103359976342083,5.922090414973392,0.001,0.05972410012636685,3.421938872457567,1.0012885255728754,1.0,0.0,2,1.9537670379110335,416.8681650938472,814.4632801148134,az20_el10,reference_0,0.015221950389630446,0.07229397492823196,,,,
tetrahedral,independent_tdoa,20.0,10.0,49.99999999999999,,49.99999999999999,2000,4246979880,0.008644567213649437,0.00950134668340932,0.4952972170592786,0.5443870646499763,0.012757381778405553,0.7309441335397386,0.013119203330568997,-0.003424684292790135,0.010299700954058908,0.012368766419442965,-0.003509929341143204,0.010297748373392803,0.9993117747372131,1.0732680488113335,0.07327128107677847,0.14630585719828137,0.1520128117725058,8.709692546481177,0.12261398379534515,7.025263780758745,0.2681061515364874,15.361350944535621,0.2585,0.14931025031591713,8.554847181143918,1.0181003075868567,1.0,0.032,2,1.953767037911033,66.69890641501553,130.31412481837015,az20_el10,reference_0,0.07772845965216092,0.09362978519824017,,,,
tetrahedral,independent_tdoa,20.0,10.0,99.99999999999999,,99.99999999999999,2000,3485011760,0.017832466526046146,0.03422996540814515,1.021725070250761,1.9612325507655195,0.03847204979670916,2.2042860825685717,0.05385735326479847,-0.008995876548243072,0.03428758047236013,0.04947506567777186,-0.014039717364572817,0.041190993493571214,0.8207101087772892,1.1687468162522114,0.2462120084193886,0.2189015480399992,0.2931541809222348,16.79649731345861,0.21433190717078326,12.280313695875625,0.5354747930273471,30.680445676108274,0.675,0.29862050063183426,17.109694362287836,0.9816947607480612,1.0,0.179,2,1.953767037911033,16.674726603753882,32.57853120459254,az20_el10,reference_0,0.08017117113044743,0.16865737117581991,,,,
tetrahedral,independent_toa,20.0,10.0,,35.35533905932737,49.99999999999999,2000,2570670937,-0.0011331669004163714,-0.0016611088378645944,-0.06492568087777932,-0.09517452572152221,0.0020011572729093595,0.11465786587961577,0.007595216585169221,-0.00012988883762190992,0.007240613362821608,0.0075816780671369936,-6.930810214895148e-19,0.007353062499999998,0.9738673781920736,1.0126254803390966,0.02902269243797039,0.023337111054336557,0.12081856952038621,6.922394120326056,0.10144603458544268,5.812429630084048,0.2042060980462232,11.700147568883276,0.13,0.12126881297349287,6.948191169942465,0.9962872280014394,1.0,0.024,2,1.0310912041257634,131.89692191423023,135.99775603702543,az20_el10,reference_0,0.01301401223308286,0.019371531636904894,,,,
tetrahedral,independent_tdoa,45.0,29.999999999999996,1.0,,1.0,2000,677158960,-7.965978451475841e-06,-4.9252931235044374e-05,-0.00045641694496172477,-0.0028219850884161077,4.973372944753935e-05,0.0028495327967895043,7.360627894133981e-06,7.919426660217535e-08,5.582694315146922e-06,7.843266666666667e-06,1.7579497694509609e-22,5.737547499990862e-06,0.9348156949578912,0.9766594384742483,0.06923709580968938,0.02075797257214979,0.0033316876040187333,0.19089163836632686,0.002800786835280131,0.160473264977354,0.0056891935660106484,0.32596678016539266,0.0,0.003408811743113847,0.19531052603505678,0.9773750664726756,1.0,0.0,2,1.3670068381445484,127497.8962847113,174290.49607024476,az45_el30,reference_0,0.0028443997825250583,0.020562169515479015,True,True,True,True
tetrahedral,independent_tdoa,45.0,29.999999999999996,5.0,,5.0,2000,104406871,0.00015093345165740634,-0.00018616918636768243,0.008647849767311224,-0.010666708654252665,0.00022747449543788166,0.013033328535458518,0.00019718238924654733,-1.6767205627316495e-06,0.00015164844888735637,0.00019608166666666664,4.394874423627402e-21,0.00014343868749977154,1.0037448829319338,1.0591040449956006,0.059222565657153434,0.018915862195923793,0.017304184107419674,0.9914567172725008,0.014407081516655307,0.8254649660052862,0.030561584629589127,1.7510498145073443,0.0,0.017044058715569233,0.9765526301752839,1.0152619394354012,1.0,0.0,2,1.3670068381445484,5099.915851388453,6971.619842809791,az45_el30,reference_0,0.010778715500806925,0.015544424555699815,,,,
tetrahedral,independent_tdoa,45.0,29.999999999999996,10.0,,10.0,2000,2055763199,-1.1529866244593511e-05,-0.0002680527986062008,-0.0006606126741655603,-0.015358294046805544,0.00026823871122999776,0.015368946055507312,0.0007690634130671235,1.993436104679064e-05,0.0005870628198881638,0.0007843266666666665,1.7579497694509608e-20,0.0005737547499990862,0.965289804973799,1.0384445688092314,0.051795583882070693,0.01119826897234948,0.034103701031322375,1.953998134870725,0.028443758831441603,1.629707334529566,0.05905129735038948,3.3833901129493777,0.0,0.034088117431138466,1.9531052603505679,1.0004571563746631,1.0,0.0,2,1.3670068381445484,1274.9789628471133,1742.9049607024479,az45_el30,reference_0,0.00041169517641098847,0.011190698595655456,,,,
tetrahedral,independent_tdoa,45.0,29.999999999999996,20.0,,20.0,2000,712511199,0.00011146964183861097,-0.00036204210840103053,0.006386740021187311,-0.020743484817396896,0.00037469133836290467,0.02146823230830271,0.003185586284198068,6.707544160174807e-05,0.0023377038074064663,0.003137306666666666,7.031799077803843e-20,0.0022950189999963446,0.9919451771980055,1.0420425876191373,0.042807234716626535,0.007814931265629653,0.06869278175871307,3.9358064777875077,0.057880012720504304,3.3162804470484146,0.11869572951235005,6.800764347284067,0.0005,0.06817623486227693,3.9062105207011357,1.0075766415889587,1.0,0.0,2,1.3670068381445484,318.7447407117783,435.72624017561196,az45_el30,reference_0,0.001990114754485366,0.007557287473061715,,,,
tetrahedral,independent_tdoa,45.0,29.999999999999996,49.99999999999999,,49.99999999999999,2000,568356449,0.00501504713965085,6.37251293244703e-05,0.2873410351611493,0.003651180959217507,0.004343625703464509,0.2488714205930596,0.01875036222485948,0.00012938002335935138,0.013659670937326429,0.019608166666666666,4.394874423627402e-19,0.014343868749977154,0.9463127855453113,0.9622402392822212,0.06563624399192601,0.035818256999132166,0.16619442016822863,9.52223885426339,0.1357226237271223,7.776333524006234,0.2913020759892509,16.69037951758327,0.329,0.17044058715569235,9.76552630175284,0.9750871135899986,1.0,0.0,2,1.3670068381445484,50.999158513884524,69.71619842809791,az45_el30,reference_0,0.03581430474678972,0.0005320807832989477,,,,
tetrahedral,independent_tdoa,45.0,29.999999999999996,99.99999999999999,,99.99999999999999,2000,1168792166,-0.0026422071720801858,0.002003276534984565,-0.15138731955939108,0.11477929065220718,0.0030412268791992067,0.1742494647198572,0.06904933717634623,-0.0010139931685020037,0.044813489415856576,0.07843266666666666,1.7579497694509608e-18,0.05737547499990862,0.778806782715715,0.8826142703609009,0.2504113593579105,0.012607711663237585,0.3069624945784555,17.587655408152912,0.2550208655543754,14.611619284038905,0.5318104389551295,30.470493653128624,0.724,0.3408811743113847,19.53105260350568,0.9004970579515033,1.0,0.0065,2,1.3670068381445484,12.749789628471131,17.429049607024478,az45_el30,reference_0,0.009434488872184494,0.008363301567202032,,,,
tetrahedral,independent_toa,45.0,29.999999999999996,,35.35533905932737,49.99999999999999,2000,486643824,0.004864093846658789,-0.0032622031913466737,0.27869204856910246,-0.18691047477827252,0.005327900747335704,0.305266226486933,0.009419705675471277,0.0002919319062458521,0.007611862116139773,0.00980408333333333,-3.9012023003346146e-19,0.007353062499999997,0.9473383842786021,1.0486519085746457,0.0716955645653473,0.06213295332169918,0.12102227235868511,6.9340654332354195,0.10091133297943894,5.781793484761166,0.20930173883865213,11.992106280204151,0.129,0.12126881297349289,6.948191169942466,0.9979669907805425,1.0,0.0,2,1.3333333333333335,101.99831702776908,135.99775603702545,az45_el30,reference_0,0.04912453454924877,0.03804318590491749,,,,
