study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,successful_trial_count,unsuccessful_trial_count,successful_fraction,conditional_azimuth_bias_deg,conditional_elevation_bias_deg,conditional_direction_bias_deg,conditional_geodesic_rmse_deg,conditional_median_geodesic_error_deg,conditional_p95_geodesic_error_deg,conditional_p99_geodesic_error_deg,conditional_p999_geodesic_error_deg,p99_geodesic_error_deg,p999_geodesic_error_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,coverage,failure_fraction,failure_invalid_fraction,gcc_any_pair_invalid_fraction,gcc_any_pair_boundary_fraction,mean_rejected_pair_fraction,mean_unavailable_pair_fraction,disconnected_graph_failure_fraction,catastrophic_fraction,catastrophic_definition,mean_cycle_residual_before_us,mean_cycle_residual_after_us,cycle_residual_definition,cycle_residual_aggregation,risk_coverage_study,confidence_threshold_percentile,hard_confidence_rejection_used,soft_confidence_weighting_used,calibration_covariance_used,confidence_weights_used,metric_conditioning,exact_crlb_claimed,gcc_measurement_rmse_us,direction_specific_plane_model_bias_rms_us,direction_specific_plane_model_bias_max_us,global_E_tau_us,far_field_grid_step_deg,noiseless_plane_doa_bias_deg,noiseless_exact_doa_bias_deg,known_range_used
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_cycle_calibrated_no_rejection,plane,20.0,2000,0,1.0,-0.0019104814656696564,-0.0010596835923058444,0.0019613525883742837,0.08832804300073178,0.06791040214019962,0.16217366248652498,0.21037375775752876,0.27819922156484794,0.21037375775752876,0.27819922156484794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.21296876313351373,1.1905793912684954e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,False,True,False,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_cycle_calibrated_hard_p05,plane,20.0,1993,7,0.9965,-0.0018834317512181349,-0.006300329534007047,0.006500801582957276,0.09876775567554205,0.07217722080721223,0.18373417169850156,0.24691712194097543,0.32983896935562773,0.24691712194097543,0.32983896935562773,0.0,0.0,0.0,0.9965,0.0035,0.0035,0.0,0.0,0.05241666666666666,0.0,0.0035,0.0,conditional_geodesic_error_gt_30deg,0.19436213128583182,1.0427702464815363e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,5.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_cycle_calibrated,plane,20.0,1971,29,0.9855,-0.001981778046996746,-0.008811766672441625,0.008969580235122763,0.10112950425653011,0.07459256825490419,0.18721230846427328,0.2542819549305022,0.32030370081316506,0.2542819549305022,0.32030370081316506,0.0,0.0,0.0,0.9855,0.0145,0.0145,0.0,0.0,0.09716666666666665,0.0,0.0145,0.0,conditional_geodesic_error_gt_30deg,0.18099953651382292,9.369191519319103e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,10.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_cycle_calibrated_hard_p25,plane,20.0,1763,237,0.8815,-0.0017324556644180333,-0.003822418960809219,0.004099279182798092,0.09987359812868264,0.07240091578373202,0.1900720105265136,0.254025461620314,0.3190659939105435,0.254025461620314,0.3190659939105435,0.0,0.0,0.0,0.8815,0.1185,0.1185,0.0,0.0,0.24566666666666667,0.0,0.1185,0.0,conditional_geodesic_error_gt_30deg,0.13897568446215583,6.719636948801847e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,25.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_cycle_calibrated_hard_p50,plane,20.0,1006,994,0.503,-0.0022940674675894,0.035526297491658816,0.03558808984807842,0.0960720270844219,0.0715731902707226,0.17832456623870555,0.2404100955459772,0.3159620064326283,0.2404100955459772,0.3159620064326283,0.0,0.0,0.0,0.503,0.497,0.497,0.0,0.0,0.49475,0.0,0.497,0.0,conditional_geodesic_error_gt_30deg,0.09574407977802786,4.706544258808888e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,50.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_cycle_calibrated_soft,plane,20.0,2000,0,1.0,-0.001838716794445881,0.0012180036484390477,0.0020088660723299474,0.08861943262850924,0.0681861862809248,0.16142569569824805,0.21089126627969662,0.2834060305832889,0.21089126627969662,0.2834060305832889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.21296876313351373,1.184090052134524e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,True,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,harmonic_stress,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,reference_3,1000,2000,1504075646,reference_3_equal,plane,20.0,2000,0,1.0,0.09833621106996197,4.038517730252454,10.902562844096952,41.18702261249498,25.12840132573539,81.062390451272,109.2202257689793,125.61257947894568,109.2202257689793,125.61257947894568,0.8795,0.7395,0.4395,1.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.4395,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
signal_comparison,harmonic_stress,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,1504075646,all_6_equal,plane,20.0,2000,0,1.0,-0.6054920017898785,14.23557045473942,17.517120580346663,32.738073881023176,23.39797335153865,63.90571913308082,79.35565551528433,98.12165518339435,79.35565551528433,98.12165518339435,0.915,0.788,0.3705,1.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.3705,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
signal_comparison,harmonic_stress,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,1504075646,all_6_cycle_equal,plane,20.0,2000,0,1.0,-0.6054920251270403,14.235570434841401,17.517120562072833,32.73807388556894,23.39797335467778,63.90571908452763,79.35565552015787,98.1216551839544,79.35565552015787,98.1216551839544,0.915,0.788,0.3705,1.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.3705,conditional_geodesic_error_gt_30deg,313.66763381021207,1.0155388148589864e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
signal_comparison,harmonic_stress,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,all_6,1000,2000,1504075646,all_6_cycle_calibrated_no_rejection,plane,20.0,2000,0,1.0,0.2036341906806154,-5.963345053251738,5.245265782959196,28.863876903826565,30.013930618577426,44.073117842229784,57.61968274091019,72.21739630722503,57.61968274091019,72.21739630722503,0.9785,0.91,0.555,1.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.555,conditional_geodesic_error_gt_30deg,314.87241342320914,1.2584165922875233e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,False,True,False,successful_trials_only,False,,,,,,,,
