study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,calibration_seed,evaluation_seed,seed,estimator_variant,srp_backend,common_random_numbers,successful_trial_count,unsuccessful_trial_count,successful_fraction,conditional_azimuth_bias_deg,conditional_elevation_bias_deg,conditional_direction_bias_deg,conditional_geodesic_rmse_deg,conditional_median_geodesic_error_deg,conditional_p95_geodesic_error_deg,conditional_p99_geodesic_error_deg,conditional_p999_geodesic_error_deg,p99_geodesic_error_deg,p999_geodesic_error_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,coverage,failure_fraction,invalid_fraction,boundary_hit_fraction,disconnected_graph_failure_fraction,catastrophic_fraction,mean_runtime_per_estimate_s,median_runtime_per_estimate_s,p95_runtime_per_estimate_s,metric_conditioning,equal_pair_weights,gcc_confidence_used_by_srp
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,reference_3,500,1000,2559222749,1282210727,1282210727,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.08680112488805633,0.197611276568845,0.21555915881662102,2.348413270660877,1.488036532068746,4.402468308430881,6.919073575418385,10.027512808035729,6.919073575418385,10.027512808035729,0.031,0.006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003139041998423636,0.0030842499691061676,0.004148100037127733,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2559222749,1282210727,1282210727,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.046601045865359327,0.2726881274196986,0.2768277735597123,1.75401584987653,1.1558898411292489,3.2115721881731236,4.96075785941358,10.000000814546127,4.96075785941358,10.000000814546127,0.01,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031508875001454726,0.0030738500063307583,0.004169830080354585,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2559222749,1282210727,1282210727,all_6_calibrated_gcc_wls,not_applicable,True,993,7,0.993,-0.0023444088691984295,-0.36419513565584644,0.36367794102438283,2.008639830948861,1.2322563534756266,3.6294367266025733,7.334368011275694,10.005248606724125,7.334368011275694,10.005248606724125,0.01812688821752266,0.007049345417925478,0.0,0.993,0.007000000000000006,0.0,0.0,0.007,0.0,0.0035453457997646183,0.0035007999977096915,0.004704669961938634,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2559222749,1282210727,1282210727,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.03318860924605414,0.271603039123476,0.273859887304327,1.7513879631062885,1.1321891646433293,3.196863446487957,4.939223454762698,10.000002177012245,4.939223454762698,10.000002177012245,0.01,0.002,0.0,1.0,0.0,0.0,0.002,0.0,0.0,0.007326733798370697,0.0068960500648245215,0.009883950051153077,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,reference_3,500,1000,2403097419,1272349562,1272349562,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.12770486494680833,0.5378543497182936,0.5524555588319374,1.795130205934959,1.2424092577840682,3.4727417521498727,4.432314899163069,6.432206405991451,4.432314899163069,6.432206405991451,0.003,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003106991698034108,0.0030331999878399074,0.004133510042447597,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,2403097419,1272349562,1272349562,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.06610593854566424,0.5280081903138655,0.5320705929534807,1.3823751040419525,0.971516970663644,2.604873129793228,3.4463860101661217,4.524021155386024,3.4463860101661217,4.524021155386024,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003118818602641113,0.0030553500400856137,0.004152520064963028,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,2403097419,1272349562,1272349562,all_6_calibrated_gcc_wls,not_applicable,True,996,4,0.996,-0.024309144192678926,-0.05784150749659354,0.06258396974405372,1.3861310500250938,0.9041997656907239,2.7436218959665317,3.6511023585790015,5.521772089121616,3.6511023585790015,5.521772089121616,0.002008032128514056,0.0,0.0,0.996,0.0040000000000000036,0.0,0.0,0.004,0.0,0.0035101794952061027,0.0034772501094266772,0.004586369986645876,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,2403097419,1272349562,1272349562,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.045414374715662426,0.5363949100902657,0.5383247841104132,1.3829955816874957,0.9620854370371895,2.622554629884055,3.5475865839136347,4.262851340456236,3.5475865839136347,4.262851340456236,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007369291899260133,0.0069012000458315015,0.010090010089334099,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,reference_3,500,1000,469922851,3217642786,3217642786,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.2012876127623771,1.1001801442197632,1.117857725506105,1.5933127664247755,1.2833198978155262,2.8680772328677695,3.4802509372097603,4.515121389458912,3.4802509372097603,4.515121389458912,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003128844998544082,0.0031097499886527658,0.004048239975236356,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,469922851,3217642786,3217642786,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.10610872865006309,0.9172892549898947,0.9232334230835937,1.2955728578457442,1.0116853445620406,2.3572642164049995,2.9301111810666898,3.203847997735715,2.9301111810666898,3.203847997735715,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031371614001691342,0.0031137499026954174,0.004079639981500805,successful_trials_only,False,False
