record_type,method,delay_samples,frequency_hz,normalized_frequency_cycles_per_sample,amplitude_error,phase_error_rad,max_waveform_error_valid,sampling_rate_hz,fir_length,fir_fixed_latency_samples,validation_guard_samples,group_delay_error_samples,cross_method_max_error_valid,valid_start,valid_stop
tone,windowed_sinc,0.25,4000.0,0.08333333333333333,2.6124000063187935e-07,2.159533414479189e-06,2.175156858297278e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.25,8000.0,0.16666666666666666,9.781492975591277e-07,3.614750814087386e-06,3.247669319916824e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.25,12000.0,0.25,1.6307535803949946e-06,3.948463983071605e-06,4.271965685143098e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.25,16000.0,0.3333333333333333,1.978875010077985e-06,3.3636225665256447e-06,3.3955666749463376e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.25,19000.0,0.3958333333333333,6.01208025297062e-06,8.35057691771424e-06,1.0289665280049931e-05,48000.0,129,64,512,,,,
tone,windowed_sinc,0.5,1500.0,0.03125,6.083631798325939e-08,6.174346697621448e-07,6.204247129937279e-07,48000.0,129,64,512,,,,
tone,windowed_sinc,0.5,2000.0,0.041666666666666664,6.269969359262717e-07,4.39385929189207e-06,4.438110364796133e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.5,4000.0,0.08333333333333333,7.329305901082606e-07,2.9817587657935536e-06,3.0698535064543897e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.5,8000.0,0.16666666666666666,2.6747747550182055e-06,4.58771428955905e-06,4.610277455019407e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.5,12000.0,0.25,4.256536841662495e-06,4.263027116018206e-06,6.024235573831582e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.5,16000.0,0.3333333333333333,4.838410536667226e-06,2.704376155780953e-06,4.838407455354243e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.5,19000.0,0.3958333333333333,1.3820142275244862e-05,4.641808702155421e-06,1.4578782694174564e-05,48000.0,129,64,512,,,,
tone,windowed_sinc,0.75,1500.0,0.03125,6.41919837285343e-08,4.3100261162293426e-07,4.357566712187566e-07,48000.0,129,64,512,,,,
tone,windowed_sinc,0.75,2000.0,0.041666666666666664,6.62948750340675e-07,3.0732773655447614e-06,3.143561246587989e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.75,4000.0,0.08333333333333333,7.669014046030043e-07,2.024088152105208e-06,2.1634937862891057e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.75,8000.0,0.16666666666666666,2.678995371319104e-06,2.6537571766979035e-06,3.2745523248500774e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.75,12000.0,0.25,3.92391236869738e-06,1.6171389156984616e-06,4.244074078063598e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.75,16000.0,0.3333333333333333,3.936754289890487e-06,6.268603067960095e-08,3.4406732949410213e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.75,19000.0,0.3958333333333333,9.872949785050267e-06,3.0223014699178686e-06,1.0325158123158928e-05,48000.0,129,64,512,,,,
tone,windowed_sinc,0.9,1500.0,0.03125,3.3524622633507306e-08,1.864245557140842e-07,1.894148895231762e-07,48000.0,129,64,512,,,,
tone,windowed_sinc,0.9,2000.0,0.041666666666666664,3.4680036709033857e-07,1.3314570155777143e-06,1.3756281858900987e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.9,4000.0,0.08333333333333333,3.9784962135858137e-07,8.556984550828879e-07,9.430531017762256e-07,48000.0,129,64,512,,,,
tone,windowed_sinc,0.9,8000.0,0.16666666666666666,1.3412578430127553e-06,9.658768734561067e-07,1.4348717402024036e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.9,12000.0,0.25,1.829459237323583e-06,2.811278782278314e-07,1.8509137913458318e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.9,16000.0,0.3333333333333333,1.630727701984469e-06,5.579000225023674e-07,1.5057721962641324e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.9,19000.0,0.3958333333333333,3.540008158164909e-06,2.799807213917402e-06,4.5133769358551845e-06,48000.0,129,64,512,,,,
broadband,frequency_domain,0.1,,,,,,48000.0,,,512,-1.6825707493950404e-12,6.210803619841228e-07,65,4033
broadband,windowed_sinc,0.1,,,,,,48000.0,129,64,512,8.315606919440111e-07,6.210803619841228e-07,65,4033
broadband,frequency_domain,0.25,,,,,,48000.0,,,512,-2.9558577807620168e-12,1.42458993390715e-06,65,4033
broadband,windowed_sinc,0.25,,,,,,48000.0,129,64,512,1.6592325664532837e-06,1.42458993390715e-06,65,4033
broadband,frequency_domain,0.5,,,,,,48000.0,,,512,-1.8189894035458565e-12,2.022901879186745e-06,65,4033
broadband,windowed_sinc,0.5,,,,,,48000.0,129,64,512,1.2337975476839347e-06,2.022901879186745e-06,65,4033
broadband,frequency_domain,0.75,,,,,,48000.0,,,512,1.5916157281026244e-12,1.4363893442779054e-06,65,4033
broadband,windowed_sinc,0.75,,,,,,48000.0,129,64,512,-1.755711309670005e-07,1.4363893442779054e-06,65,4033
broadband,frequency_domain,0.9,,,,,,48000.0,,,512,1.0004219674897286e-12,6.293297586713615e-07,65,4033
broadband,windowed_sinc,0.9,,,,,,48000.0,129,64,512,-3.497281341191538e-07,6.293297586713615e-07,65,4033
