geometry,azimuth_deg,elevation_deg,snr_db,trial_count,seed,noise_model,snr_definition,signal_model,delay_method,frequency_reference,sampling_rate_hz,signal_duration_s,minimum_frequency_hz,maximum_frequency_hz,interpolation_factor,pair_scheme,pair_count,tdoa_bias_us,tdoa_rmse_us,tdoa_p95_abs_error_us,tdoa_trial_outlier_fraction_gt_0p5_sample,tdoa_trial_outlier_fraction_gt_1_sample,azimuth_bias_deg,elevation_bias_deg,geodesic_rmse_deg,median_geodesic_error_deg,p95_geodesic_error_deg,fraction_geodesic_error_gt_10deg,wls_success_fraction,mirror_ambiguous,equal_pair_weight_assumption
tetrahedral,20.0,10.0,5.0,200,135664109,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,0.033159278239097256,2.5140084862206913,4.9554177711449485,0.0,0.0,-0.0030731547908024706,0.002000963068814176,0.4142907339091514,0.3362016369618848,0.7247408477491117,0.0,1.0,False,True
tetrahedral,20.0,10.0,10.0,200,2303862147,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.3882513416427893,1.5136451623802736,2.9091580973139526,0.0,0.0,-0.0339094449766275,-0.057080158105333324,0.25170566256394455,0.20948083234204418,0.4150837663876609,0.0,1.0,False,True
tetrahedral,20.0,10.0,20.0,200,3877573029,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.6151131749401221,0.8749884263587077,1.6190084691312778,0.0,0.0,-0.07408764835664466,-0.0860689729091019,0.14249010301608409,0.1260202557335912,0.23808898503829848,0.0,1.0,False,True
tetrahedral,45.0,30.0,-20.0,200,1391070270,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-410.6513833262733,564.6225862423136,1025.8129785551566,1.0,1.0,-8.894452290688676,-10.258596815585534,86.13933024856564,78.8007584693263,138.27545801892026,1.0,1.0,False,True
tetrahedral,45.0,30.0,-10.0,200,2481432203,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-54.22354912927326,205.43966426131084,542.7838478874909,0.895,0.615,-1.1738664710327524,-0.43637052641149693,29.672940149068502,3.4935008170200583,70.74859525966296,0.295,1.0,False,True
tetrahedral,45.0,30.0,0.0,200,1599841842,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.12880488197008308,4.182943772537308,8.459199022112315,0.045,0.0,-0.032553415556923676,0.015218451120065375,0.8143546133003965,0.6902006786349284,1.3038943509625902,0.0,1.0,False,True
tetrahedral,45.0,30.0,5.0,200,361721629,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.24805472344851923,2.514306513991943,4.93054142321631,0.0,0.0,0.014419886862745661,0.033736600432221986,0.46537303887527526,0.41148691345822574,0.794824700470021,0.0,1.0,False,True
tetrahedral,45.0,30.0,10.0,200,3220577875,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.19263821915983328,1.4620513561047153,2.917452285021741,0.0,0.0,0.0017354907646212712,-0.00439279178046726,0.2582678972990089,0.2003857005361434,0.47262229612540274,0.0,1.0,False,True
tetrahedral,45.0,30.0,20.0,200,1158791166,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.37736512478482465,0.6911858549238362,1.3116612187541947,0.0,0.0,0.005064027415633751,-0.02988094336682994,0.09027038778532087,0.07880759546763097,0.15318184740379864,0.0,1.0,False,True
tetrahedral,120.0,50.0,-20.0,200,3805528562,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-246.13812537746895,468.380655394961,1017.491759198931,1.0,1.0,6.593262149887992,-31.483971298790692,85.40523682800898,65.20085142005598,129.62272862010832,0.98,1.0,False,True
tetrahedral,120.0,50.0,-10.0,200,331263585,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-39.11785752525929,197.0249504371127,439.123505676511,0.89,0.57,-16.036043509182672,-6.579048058760231,41.62894375139978,2.683823683475261,128.1412720225843,0.29,1.0,False,True
tetrahedral,120.0,50.0,0.0,200,773258569,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.3234185947755278,3.946735105460622,7.742001999099311,0.015,0.0,0.04784220618057831,-0.01720150332436263,0.576553852090824,0.468574087714742,1.019872539468863,0.0,1.0,False,True
tetrahedral,120.0,50.0,5.0,200,1549881613,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.20517923545138034,2.265676745744015,4.435172251520643,0.0,0.0,0.03955541851502486,-0.05827735747714145,0.34916721724632516,0.2898180528943331,0.608813323126949,0.0,1.0,False,True
tetrahedral,120.0,50.0,10.0,200,1905405434,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.4310389480141221,1.3922709889197653,2.688991087952074,0.0,0.0,0.05624373291802682,-0.09405288018851012,0.20819412727030812,0.17751816703377668,0.36565131280940766,0.0,1.0,False,True
tetrahedral,120.0,50.0,20.0,200,3851537108,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-0.40685016069877344,0.7166919686048466,1.3478543246447916,0.0,0.0,0.04870823895655648,-0.09011920159187496,0.11597079837883228,0.10860617752294134,0.17686807942219082,0.0,1.0,False,True
