record_type,geometry,distance_m,max_plane_error_s,max_plane_error_us,max_second_order_error_s,max_second_order_error_us,sample_error,worst_azimuth_deg,worst_elevation_deg,worst_pair,second_order_worst_azimuth_deg,second_order_worst_elevation_deg,second_order_worst_pair,sampling_rate_hz,angular_step_deg,max_elevation_deg,phase_error_2000hz_rad,phase_error_4000hz_rad,phase_error_8000hz_rad,phase_error_12000hz_rad,criterion,maximum_frequency_hz,limit_value,limit_unit,target_error_s,target_error_us,minimum_distance_m,coarse_boundary_distance_m,achieved_error_s,achieved_error_us,coarse_max_error,refined_max_error,relative_grid_difference,refined_worst_azimuth_deg,refined_worst_elevation_deg,refined_worst_pair,continuous_refinement_used,continuous_max_error,continuous_worst_azimuth_deg,continuous_worst_elevation_deg,continuous_worst_pair,coarse_search_iterations,refined_search_iterations,refined_angular_step_deg
boundary,L-shaped,,,,,,,28.5,0.0,0-3,,,,48000.0,0.5,80.0,,,,,sample,,0.1,samples,2.0833333333333334e-06,2.0833333333333335,9.808983391238701,9.808983391238701,2.0833316879062536e-06,2.0833316879062536,2.0833316879062536e-06,2.0833316879062536e-06,0.0,28.5,0.0,0-3,False,,,,,23,23,0.25
boundary,L-shaped,,,,,,,29.25,0.0,0-3,,,,48000.0,0.5,80.0,,,,,phase,2000.0,0.1,rad,7.957747154594769e-06,7.9577471545947684,2.5702045186931852,2.570187528755142,7.957746303464101e-06,7.957746303464101,7.957693224614355e-06,7.957746303464101e-06,6.670085690387406e-06,29.25,0.0,0-3,False,,,,,21,21,0.25
boundary,L-shaped,,,,,,,28.75,0.0,0-3,,,,48000.0,0.5,80.0,,,,,phase,4000.0,0.1,rad,3.978873577297384e-06,3.9788735772973842,5.137487588872396,5.137453628308093,3.978870192613681e-06,3.9788701926136807,3.978846244478973e-06,3.978870192613681e-06,6.01882784524916e-06,28.75,0.0,0-3,False,,,,,22,22,0.25
boundary,L-shaped,,,,,,,28.5,0.0,0-3,,,,48000.0,0.5,80.0,,,,,phase,8000.0,0.1,rad,1.989436788648692e-06,1.9894367886486921,10.271783370001744,10.271783370001744,1.989434578672511e-06,1.989434578672511,1.989434578672511e-06,1.989434578672511e-06,0.0,28.5,0.0,0-3,False,,,,,23,23,0.25
boundary,L-shaped,,,,,,,28.25,0.0,0-3,,,,48000.0,0.5,80.0,,,,,phase,12000.0,0.1,rad,1.3262911924324613e-06,1.3262911924324612,15.406028841986465,15.405865899649676,1.3262907278882227e-06,1.3262907278882228,1.3262768622200605e-06,1.3262907278882227e-06,1.045447115831614e-05,28.25,0.0,0-3,False,,,,,23,23,0.25
distance_sweep,rectangle 3:1,0.5,2.043314724487703e-05,20.43314724487703,4.498484567752158e-06,4.4984845677521585,0.9807910677540974,315.0,0.0,2-3,13.0,51.0,2-3,48000.0,0.5,80.0,0.25677050109689675,0.5135410021937935,1.027082004387587,1.5406230065813806,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,1.0,9.506567633551708e-06,9.506567633551708,1.1227514509458414e-06,1.1227514509458414,0.456315246410482,45.5,0.0,0-1,6.5,52.0,2-3,48000.0,0.5,80.0,0.11946305215368219,0.23892610430736438,0.47785220861472877,0.7167783129220932,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,2.0,4.565986701958252e-06,4.565986701958252,2.8057664818413597e-07,0.28057664818413597,0.2191673616939961,225.0,0.0,2-3,3.5,52.5,2-3,48000.0,0.5,80.0,0.05737788111704292,0.11475576223408585,0.2295115244681717,0.34426728670225754,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,5.0,1.7803874154810975e-06,1.7803874154810975,4.488724406059852e-08,0.04488724406059852,0.08545859594309269,225.0,0.0,2-3,1.5,52.5,2-3,48000.0,0.5,80.0,0.022373008100076537,0.044746016200153074,0.08949203240030615,0.13423804860045924,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,10.0,8.824366392823032e-07,0.8824366392823032,1.1221626090157644e-08,0.011221626090157644,0.042356958685550554,225.0,0.0,2-3,0.5,52.5,2-3,48000.0,0.5,80.0,0.011089025852911,0.022178051705822,0.044356103411644,0.06653415511746599,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,20.0,4.392707930747316e-07,0.4392707930747316,2.80539440983274e-09,0.00280539440983274,0.021084998067587117,225.0,0.0,2-3,0.5,52.5,2-3,48000.0,0.5,80.0,0.005520039585840556,0.011040079171681112,0.022080158343362223,0.03312023751504334,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,50.0,1.7523985787606467e-07,0.17523985787606466,4.4886291905577025e-10,0.00044886291905577025,0.008411513178051104,225.0,0.0,2-3,29.5,30.5,1-3,48000.0,0.5,80.0,0.0022021290004782565,0.004404258000956513,0.008808516001913026,0.013212774002869541,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,100.0,8.754176475525089e-08,0.08754176475525088,1.1221584772513893e-10,0.00011221584772513893,0.004202004708252043,225.0,0.0,2-3,24.0,38.5,1-3,48000.0,0.5,80.0,0.0011000822601495283,0.0022001645202990566,0.004400329040598113,0.00660049356089717,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,200.0,4.37513330855629e-08,0.04375133308556289,2.8054114586950618e-11,2.8054114586950618e-05,0.002100063988107019,225.0,0.0,2-3,71.0,18.0,0-2,48000.0,0.5,80.0,0.0005497954664254578,0.0010995909328509156,0.002199181865701831,0.0032987727985527467,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,rectangle 3:1,500.0,1.749584052770448e-08,0.01749584052770448,4.489075777769358e-12,4.489075777769358e-06,0.000839800345329815,225.0,0.0,2-3,69.5,23.0,0-2,48000.0,0.5,80.0,0.00021985921628085982,0.00043971843256171965,0.0008794368651234393,0.001319155297685159,,,,,,,,,,,,,,,,,,,,,,,,
